,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2017-07-07,47.04,46.549,47.233,46.49,33266040.0,642570.5276
2017-07-10,47.55,47.098,47.657,47.098,29029200.0,649626.8567
2017-07-11,47.677,47.526,47.745,47.256,29224940.0,650917.5068
2017-07-12,48.383,48.043,48.482,47.852,32042300.0,660547.4026
2017-07-13,48.443,48.54,48.935,48.24,30491420.0,662163.5465
2017-07-14,48.846,48.7,48.877,48.508,21592160.0,668024.3587
2017-07-17,48.798,48.816,49.168,48.54,33209280.0,666766.9171
2017-07-18,49.348,48.668,49.543,48.602,28266700.0,674736.0723
2017-07-19,49.639,49.501,49.78,49.351,28242960.0,678639.7698
2017-07-20,49.61,49.85,49.934,49.231,28367700.0,677438.1817
2017-07-21,49.692,49.45,49.756,49.209,29266440.0,679735.6625
2017-07-24,49.915,49.705,50.31,49.514,79690640.0,685033.093
2017-07-25,48.451,48.535,48.837,48.19,118672040.0,664615.3726
2017-07-26,48.265,48.639,48.698,48.012,44432500.0,662342.3138
2017-07-27,47.626,48.459,48.476,46.853,74358000.0,653135.5879
2017-07-28,47.917,47.4,48.09,47.265,36275880.0,657769.6267
2017-07-31,47.275,48.0,48.06,47.086,45867780.0,649548.2943
2017-08-01,47.328,47.39,47.725,47.248,26649120.0,650011.7092
2017-08-02,47.382,47.419,47.455,46.626,40788360.0,650195.6672
2017-08-03,47.015,47.455,47.5,46.972,22478420.0,645332.7022
2017-08-04,47.29,47.198,47.377,46.99,25091480.0,648698.4953
2017-08-07,47.288,47.376,47.448,47.175,28915080.0,649205.4293
2017-08-08,47.21,47.215,47.625,47.124,30101280.0,647749.5403
2017-08-09,47.004,46.923,47.188,46.696,28017040.0,644983.4881
2017-08-10,46.18,46.75,46.815,46.089,54147860.0,633866.0712
2017-08-11,46.505,46.186,46.668,46.061,32334160.0,638611.1225
2017-08-14,46.947,46.954,47.052,46.724,23012240.0,644528.2581
2017-08-15,46.904,47.052,47.154,46.832,22129680.0,644087.8242
2017-08-16,47.213,47.063,47.495,47.002,26905220.0,647838.3862
2017-08-17,46.383,47.148,47.191,46.382,33913880.0,636563.5669
2017-08-18,46.309,46.349,46.551,46.173,26748080.0,635972.5077
2017-08-21,46.044,46.289,46.413,45.93,26024860.0,632776.3025
2017-08-22,47.02,46.348,47.098,46.308,35501980.0,645751.319
