,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-10-30,90.22,89.44,90.54,88.91,4445329.0,154866.6498
2014-10-31,91.38,91.51,91.98,90.75,7472216.0,156857.8415
2014-11-03,91.71,91.24,91.82,91.0,5447877.0,157424.3012
2014-11-04,90.35,91.97,91.98,89.8,7928517.0,155089.8006
2014-11-05,91.0,91.6,91.6,89.59,7020959.0,156205.5546
2014-11-06,92.0,91.29,92.0,91.15,9938826.0,157922.0991
2014-11-07,90.0,89.39,90.02,88.65,16176328.0,154489.01
2014-11-10,89.78,90.24,90.42,88.95,8155734.0,154111.3702
2014-11-11,89.98,90.01,90.03,89.13,5896789.0,154454.6791
2014-11-12,89.9,89.77,90.12,89.33,5262460.0,154317.3556
2014-11-13,90.49,90.1,90.71,90.03,5098761.0,155330.1168
