,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-11-14,90.8,90.68,90.85,90.38,4281140.0,155862.2457
2014-11-17,90.41,90.5,90.78,90.05,4148400.0,155192.7933
2014-11-18,90.28,90.33,90.69,90.13,4466404.0,154969.6425
2014-11-19,89.82,90.26,90.28,89.185,7709962.0,152308.7454
2014-11-20,88.9,89.25,89.46,88.75,8603976.0,150748.6915
2014-11-21,88.96,89.69,89.8,88.76,7383521.0,150850.4341
2014-11-24,90.58,89.32,90.66,89.32,6504104.0,153597.4857
2014-11-25,91.65,90.71,91.92,90.71,7404151.0,155411.8962
2014-11-26,91.92,91.96,92.28,91.67,4607258.0,155869.7382
2014-11-28,92.51,92.53,92.96,92.23,3852961.0,156870.2075
2014-12-01,92.7,92.63,93.14,92.1,6714729.0,157192.3926
2014-12-02,93.47,92.65,93.81,92.42,6664201.0,158498.0899
2014-12-03,93.11,93.54,93.661,92.5,5492376.0,157887.634
2014-12-04,93.23,93.61,93.63,92.565,6049063.0,158091.1193
2014-12-05,93.76,93.69,93.98,93.34,5226807.0,158989.8461
2014-12-08,93.8,94.21,94.5,93.412,6682153.0,159057.6745
2014-12-09,92.94,93.51,93.57,91.76,9522100.0,157599.3632
2014-12-10,91.63,92.52,92.83,91.55,10346075.0,155377.982
2014-12-11,91.75,91.09,92.66,90.66,8227812.0,155581.4673
2014-12-12,91.49,91.18,92.61,90.95,7890850.0,155140.5825
2014-12-15,90.9,92.03,92.69,90.19,6746824.0,154140.1131
2014-12-16,90.17,90.5,92.0,90.13,6549387.0,152902.2442
2014-12-17,91.38,90.36,91.68,90.2,6890832.0,154954.0543
2014-12-18,92.61,92.19,92.61,91.86,9387548.0,157039.7786
2014-12-19,92.89,92.34,93.2,91.88,12837921.0,157514.5776
2014-12-22,94.2,93.39,94.36,93.22,7477481.0,159735.9588
2014-12-23,94.69,94.48,95.07,94.4,5385780.0,160566.8571
2014-12-24,94.42,94.69,95.12,94.37,2166034.0,160109.0152
2014-12-26,95.03,94.74,95.3142,94.52,3142431.0,161143.3988
2014-12-29,95.5,94.74,95.93,94.686,3584362.0,161940.3829
2014-12-30,94.7,95.21,95.5,94.5,3490053.0,160583.8142
2014-12-31,94.19,95.13,95.52,94.03,4797034.0,159719.0017
2015-01-02,93.75,94.91,95.28,92.8486,5865420.0,158972.8889
2015-01-05,92.38,93.28,93.35,91.78,7789422.0,156649.7651
2015-01-06,91.89,92.57,93.191,91.157,6802381.0,155818.8668
2015-01-07,92.83,92.72,93.15,92.1,6589494.0,157412.835
2015-01-08,93.79,93.87,94.3,93.555,7579358.0,159040.7174
2015-01-09,94.25,94.05,95.27,93.99,8621330.0,159820.7444
2015-01-12,94.46,94.69,94.76,93.77,6586223.0,160176.8436
2015-01-13,95.19,95.28,96.43,94.7,9364297.0,161414.7125
2015-01-14,94.23,94.0,94.8,93.29,6509293.0,159786.8301
2015-01-15,94.35,94.61,94.96,94.04,5662230.0,159990.3154
2015-01-16,95.18,94.0,95.23,93.98,6117011.0,161327.7182
2015-01-20,94.74,95.22,95.39,93.75,7947593.0,160581.9292
2015-01-21,94.17,94.37,94.74,93.82,7474730.0,159615.7935
2015-01-22,95.15,94.58,95.39,94.01,7014169.0,161276.8689
2015-01-23,94.72,94.92,95.53,94.43,4664712.0,160548.0297
2015-01-26,94.97,94.45,95.0,93.93,5446906.0,160971.7734
2015-01-27,93.97,93.94,94.74,93.361,5390006.0,159276.7985
2015-01-28,92.67,94.14,94.47,92.61,6198396.0,157073.331
2015-01-29,93.22,93.11,93.5,91.52,7681669.0,158005.5672
2015-01-30,90.96,92.5,92.9375,90.83,10212270.0,154174.9238
2015-02-02,91.93,91.3,92.05,90.06,9392029.0,155819.0495
2015-02-03,94.1,92.43,94.11,92.19,12329105.0,159928.9117
2015-02-04,101.28,99.39,101.94,98.82,32640456.0,172131.7765
2015-02-05,102.64,100.76,102.84,100.51,14089453.0,174443.1827
2015-02-06,102.02,102.67,102.99,101.65,8535248.0,173389.4534
2015-02-09,101.73,101.8,102.5,101.45,5461981.0,172896.5801
2015-02-10,101.92,101.96,102.19,101.18,5726347.0,173219.4971
2015-02-11,101.87,102.01,102.02,101.07,5868228.0,173134.5189
2015-02-12,103.58,102.16,103.85,101.7,6816814.0,176040.7723
2015-02-13,104.17,103.73,104.405,103.43,5175636.0,177043.5146
2015-02-17,104.12,104.23,104.45,103.57,4759334.0,176958.5365
2015-02-18,103.86,103.4,104.33,103.4,3760192.0,176516.65
2015-02-19,103.89,104.0,104.08,103.55,5094137.0,176567.6369
2015-02-20,104.55,103.86,104.69,102.7302,5196956.0,177689.3487
2015-02-23,104.99,104.76,105.23,104.44,5587069.0,178437.1566
2015-02-24,104.67,104.54,105.05,104.35,4099805.0,177893.2963
2015-02-25,105.57,104.68,105.98,104.67,6547243.0,179422.9033
2015-02-26,104.56,105.5,105.71,104.14,5048999.0,177706.3443
2015-02-27,104.08,104.67,105.1396,103.96,4161605.0,176890.5539
2015-03-02,105.89,104.35,105.98,104.35,5635530.0,179966.7636
2015-03-03,106.35,105.78,106.64,105.21,4671949.0,180748.5628
2015-03-04,105.57,105.86,106.0,104.78,4972937.0,179422.9033
2015-03-05,105.03,105.54,105.81,104.87,3954726.0,178505.1391
2015-03-06,103.82,104.67,105.0,103.49,5704232.0,176448.6675
2015-03-09,105.26,103.94,105.42,103.82,4868861.0,178896.0387
2015-03-10,103.09,104.27,104.35,103.09,6472601.0,175207.9862
2015-03-11,102.89,103.51,103.9999,102.865,4831861.0,174868.0735
2015-03-12,107.17,103.85,107.33,103.81,10730363.0,182142.2047
2015-03-13,106.44,107.28,107.28,105.52,8024216.0,180901.5235
2015-03-16,107.37,106.84,107.73,106.05,6407258.0,182482.1174
2015-03-17,106.96,107.0,107.21,106.15,4490192.0,181785.2964
2015-03-18,107.97,106.9,108.42,105.73,5520550.0,183501.8554
2015-03-19,107.37,107.84,108.48,107.14,4885562.0,182482.1174
2015-03-20,108.43,107.83,108.94,107.5,8710075.0,184283.6545
2015-03-23,108.22,108.6,108.85,108.04,5667034.0,183926.7462
2015-03-24,107.11,107.72,108.05,107.08,4493538.0,182040.2309
2015-03-25,105.0,107.45,107.4599,105.0,6964726.0,178454.1522
2015-03-26,105.24,104.47,105.82,104.1,5915844.0,178862.0474
2015-03-27,105.48,105.2,106.45,104.88,5330425.0,179269.9426
2015-03-30,106.12,106.06,106.945,106.05,3831883.0,180357.6632
2015-03-31,104.89,105.6,106.32,104.89,5701609.0,178267.2003
2015-04-01,105.44,105.43,106.0,104.25,6117195.0,179201.9601
2015-04-02,106.0,105.49,106.24,104.863,3651641.0,180153.7156
2015-04-06,105.63,105.31,106.57,105.04,4154218.0,179524.8771
2015-04-07,105.43,105.8,106.41,105.4,4694555.0,179184.9645
2015-04-08,106.36,105.23,106.69,105.16,4277383.0,180765.5584
2015-04-09,106.77,106.51,107.0,105.88,3924416.0,181462.3794
2015-04-10,106.95,106.73,107.1,106.41,3251487.0,181768.3008
2015-04-13,106.51,107.07,107.9,106.47,4201467.0,181020.4929
2015-04-14,106.66,106.41,107.3,106.11,5389283.0,181275.4274
2015-04-15,106.98,106.92,107.43,106.86,4307798.0,181819.2877
2015-04-16,108.1,107.15,108.3,106.9,6379102.0,183722.7986
2015-04-17,106.69,107.8,107.8,106.04,9663490.0,181326.4143
2015-04-20,108.22,107.83,108.5,107.32,8094174.0,183926.7462
2015-04-21,107.68,108.93,108.99,107.58,4579838.0,183008.982
2015-04-22,107.94,108.02,108.25,106.97,4060485.0,183450.8685
2015-04-23,109.0,107.96,109.9,107.61,5983755.0,185252.4056
