,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2021-07-01,53.08,52.79,53.76,52.69,8577588.0,17177.2594
2021-07-02,52.77,53.17,53.17,52.09,9219856.0,17076.9401
2021-07-06,51.44,52.68,53.21,51.02,10652336.0,16646.5378
2021-07-07,50.3,51.04,51.87,49.78,12719050.0,16277.6215
2021-07-08,49.66,49.0815,50.52,48.57,13207761.0,16070.5106
2021-07-09,51.1,50.33,51.324,49.9746,9914705.0,16536.5101
2021-07-12,50.62,50.3273,51.02,49.44,11567189.0,16381.1769
2021-07-13,48.5,49.76,50.04,48.38,14287157.0,15695.1221
2021-07-14,48.16,49.0357,49.96,47.8715,14949343.0,15585.0944
2021-07-15,47.71,47.9,48.63,46.96,12331828.0,15439.4696
2021-07-16,46.01,48.45,48.4799,45.83,13760722.0,14889.3313
2021-07-19,43.46,43.7035,44.65,42.56,26444011.0,14064.1238
2021-07-20,46.32,43.55,46.46,43.07,21894036.0,14989.6506
2021-07-21,48.1,47.117,48.9391,46.99,23048276.0,15565.6778
2021-07-22,47.95,47.69,48.6984,46.8,12922278.0,15517.1362
2021-07-23,47.53,48.1364,48.48,47.16,9491348.0,15381.2197
2021-07-26,49.46,47.5,49.525,47.4,10775250.0,16005.7884
2021-07-27,48.65,49.105,49.57,48.085,10559900.0,15743.6637
2021-07-28,49.14,49.08,49.51,48.04,9772459.0,15902.233
2021-07-29,48.49,49.58,49.6,48.46,7643569.0,15691.886
2021-07-30,46.72,47.692,48.23,46.49,12123471.0,15119.0949
2021-08-02,46.07,46.85,48.23,45.95,10995896.0,14908.7479
2021-08-03,46.54,46.12,46.57,44.6112,12596991.0,15060.845
2021-08-04,45.28,45.52,46.645,44.9,12205041.0,14653.0954
2021-08-05,47.24,45.5165,47.665,45.38,12644615.0,15287.3725
2021-08-06,47.62,47.72,48.1299,46.58,9919257.0,15410.3446
2021-08-09,46.45,46.9906,47.0,45.53,13064799.0,15031.72
2021-08-10,47.68,46.37,48.24,46.17,12551748.0,15429.7613
2021-08-11,48.21,47.14,48.41,46.46,12779269.0,15601.275
2021-08-12,47.24,47.91,48.01,46.55,9323627.0,15287.3725
2021-08-13,46.49,47.08,47.38,46.265,7572363.0,15044.6645
2021-08-16,46.3,45.616,46.55,45.16,8408444.0,14983.1784
2021-08-17,45.29,45.435,45.8,44.52,9745534.0,14656.3315
2021-08-18,45.04,45.1158,45.99,44.71,9460719.0,14575.4289
2021-08-19,43.93,44.7683,44.9,43.17,12360708.0,14216.2209
2021-08-20,44.03,43.79,44.32,43.48,9866975.0,14248.582
2021-08-23,45.53,44.6444,45.625,44.32,8269215.0,14733.9981
2021-08-24,47.12,46.34,47.555,46.28,10047996.0,15248.5392
2021-08-25,47.59,47.3,47.935,46.54,9772287.0,15400.6363
2021-08-26,47.01,47.3,48.02,46.4,8604046.0,15212.9421
2021-08-27,47.71,47.17,48.22,47.03,6824272.0,15439.4696
2021-08-30,45.91,48.01,48.01,45.71,11376129.0,14856.9702
2021-08-31,46.51,45.73,46.825,45.61,8884233.0,15051.1367
2021-09-01,46.19,46.75,46.93,45.95,8607983.0,14947.5812
2021-09-02,46.76,46.28,47.49,45.87,9785416.0,15132.0394
2021-09-03,46.22,46.6,47.355,45.92,7710172.0,14957.2896
2021-09-07,46.57,46.02,46.78,45.68,7812349.0,15070.5533
2021-09-08,45.53,46.7,47.19,45.42,9053359.0,14733.9981
2021-09-09,46.58,45.24,47.7357,45.07,12872337.0,15073.7894
2021-09-10,44.34,46.82,46.82,44.18,17498633.0,14348.9013
2021-09-13,44.84,44.73,45.175,43.57,14173593.0,14510.7067
2021-09-14,43.87,44.63,44.93,43.58,10762752.0,14196.8043
2021-09-15,43.86,43.646,43.91,43.02,10321569.0,14193.5682
2021-09-16,44.47,43.86,45.41,43.85,12204301.0,14390.9707
2021-09-17,44.54,44.78,45.5,44.11,11743870.0,14413.6235
2021-09-20,45.27,44.76,45.335,43.59,14700328.0,14649.8593
2021-09-21,44.45,45.5,46.26,44.28,12217719.0,14384.4985
2021-09-22,45.68,44.85,46.29,44.83,13782969.0,14782.5397
2021-09-23,47.47,46.18,47.83,46.1,13703508.0,15361.803
2021-09-24,48.79,47.38,48.95,47.38,12236356.0,15788.9692
2021-09-27,49.08,49.51,50.56,48.98,14094302.0,15882.8163
2021-09-28,48.68,49.02,49.67,48.345,9820648.0,15753.372
2021-09-29,48.71,48.8808,49.41,47.78,9791562.0,15763.0804
2021-09-30,47.57,48.38,48.4,47.18,12016541.0,15394.1641
2021-10-01,51.34,48.9,51.48,48.88,21464897.0,16614.1767
2021-10-04,51.3,51.76,52.43,50.98,13986660.0,16601.2322
2021-10-05,50.88,51.36,51.86,50.37,9828086.0,16465.3157
2021-10-06,50.22,49.85,50.28,49.06,9995859.0,16251.7326
2021-10-07,49.52,50.87,50.9,49.21,10812061.0,16025.2051
2021-10-08,49.16,49.5,49.65,48.65,7349319.0,15908.7052
2021-10-11,49.18,48.75,49.98,48.23,8145107.0,15915.1774
2021-10-12,49.67,49.085,50.14,48.67,7402318.0,16073.7467
2021-10-13,47.88,49.3693,49.41,47.46,13271546.0,15494.4834
2021-10-14,47.91,48.33,48.6532,47.83,7434975.0,15504.1918
2021-10-15,48.0,48.63,49.2899,47.935,8527987.0,15533.3167
2021-10-18,47.17,47.7,48.13,47.15,9126832.0,15264.7198
