,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-05-05,40.52,40.26,41.0,39.75,3337844.0,15134.3981
2014-05-06,40.09,40.55,41.05,39.91,2852189.0,14973.7912
2014-05-07,39.9,40.08,40.42,38.93,5593138.0,14902.8253
2014-05-08,40.37,39.77,41.47,39.711,5041266.0,15078.3724
2014-05-09,40.16,40.28,40.47,39.51,3885016.0,14999.9365
2014-05-12,41.58,40.33,41.59,40.22,5333322.0,15530.3127
2014-05-13,42.14,41.55,42.34,41.31,4172495.0,15739.4752
2014-05-14,41.89,41.9,42.21,41.13,3406656.0,15646.0991
2014-05-15,40.8,41.48,41.65,40.12,4732729.0,15238.9793
2014-05-16,40.51,40.61,41.05,39.56,4289438.0,15130.663
2014-05-19,41.24,40.3,41.75,40.21,3127062.0,15403.3212
2014-05-20,40.38,41.26,41.34,40.02,4368406.0,15082.1075
2014-05-21,41.32,40.43,41.98,40.43,6503981.0,15433.2016
2014-05-22,42.0,41.26,42.36,41.225,3589642.0,15687.1846
2014-05-23,43.57,42.0,44.39,41.96,7412246.0,16273.5865
2014-05-27,43.49,43.81,44.0,43.27,3643670.0,16243.7061
2014-05-28,44.89,43.61,45.42,43.2,4373427.0,16766.6123
2014-05-29,44.6,44.78,45.33,43.85,5394058.0,16658.296
2014-05-30,44.37,44.61,45.3,43.77,7028755.0,16572.39
2014-06-02,46.7,44.49,46.82,44.37,7957551.0,17442.6552
2014-06-03,47.51,46.63,47.75,46.5,7507026.0,17745.1938
2014-06-04,46.87,47.4,48.06,46.28,10945126.0,17506.151
2014-06-05,47.0,46.93,47.69,46.83,4454792.0,17554.7065
2014-06-06,48.05,47.25,48.13,47.15,4178238.0,17946.8862
2014-06-09,46.38,47.6,48.13,46.18,7622061.0,17323.1338
2014-06-10,47.76,46.26,47.9,45.5,6689105.0,17838.5699
2014-06-11,45.26,46.99,47.27,44.915,9455358.0,16904.8089
2014-06-12,42.6,44.02,44.13,41.6,17075735.0,15911.2872
2014-06-13,42.78,42.65,43.37,41.91,10900578.0,15978.518
2014-06-16,42.53,42.49,42.77,41.76,6974614.0,15885.1419
2014-06-17,43.92,42.58,44.05,42.4,6883285.0,16404.313
2014-06-18,43.76,43.82,43.9,43.0073,5034942.0,16344.5523
2014-06-19,43.63,44.24,44.7,43.13,3676698.0,16295.9967
2014-06-20,43.66,43.8,44.18,43.5,4865027.0,16307.2019
2014-06-23,43.15,43.64,43.66,42.25,5023972.0,16116.7146
2014-06-24,41.79,43.15,43.59,41.59,6871738.0,15608.7486
2014-06-25,41.81,41.58,42.21,40.74,5059975.0,15616.2187
2014-06-26,41.51,41.49,42.23,41.04,6674088.0,15504.1674
2014-06-27,41.49,41.6,42.08,41.0399,4881555.0,15496.6973
2014-06-30,41.07,41.62,42.19,41.0,4457035.0,15339.8255
2014-07-01,42.26,41.74,42.4,41.31,6202039.0,15784.2957
2014-07-02,39.27,40.89,40.99,39.22,12844848.0,14667.5176
2014-07-03,39.88,39.55,40.49,39.55,4290675.0,14895.3553
2014-07-07,38.62,39.87,40.01,38.08,8454781.0,14424.7397
2014-07-08,39.54,37.44,39.78,36.65,15925199.0,14768.3638
2014-07-09,40.07,40.55,40.98,39.24,7504473.0,14966.3211
2014-07-10,45.17,41.6,45.26,41.2,20819891.0,16871.1935
2014-07-11,45.7,44.96,45.81,44.66,7651149.0,17069.1508
2014-07-14,44.92,45.73,45.83,44.82,5269494.0,16777.8174
2014-07-15,45.22,45.24,45.9,44.89,5158432.0,16889.8687
2014-07-16,44.9,45.35,45.59,44.74,3880387.0,16770.3473
2014-07-17,43.35,44.68,45.327,42.96,8266405.0,16191.4155
2014-07-18,44.25,43.76,44.59,43.65,5226088.0,16527.5695
2014-07-21,43.79,44.25,44.27,43.55,2591159.0,16355.7574
2014-07-22,44.82,44.09,45.1,43.964,3546088.0,16740.467
2014-07-23,46.0,44.75,46.315,44.6,7820989.0,17181.2021
2014-07-24,44.92,48.93,49.28,44.55,14792876.0,16780.969
2014-07-25,46.78,45.52,47.99,45.22,11748535.0,17475.8177
2014-07-28,46.55,46.8,47.29,45.88,5312953.0,17389.8955
2014-07-29,45.84,46.77,46.9,45.75,4901131.0,17124.6576
2014-07-30,46.97,47.43,47.74,46.15,7006188.0,17546.7968
2014-07-31,46.39,46.04,47.22,45.4501,5015723.0,17330.1236
2014-08-01,46.73,46.5,46.77,45.63,3360923.0,17457.1389
2014-08-04,45.5,46.68,47.39,44.95,5029696.0,16997.6422
2014-08-05,43.94,45.68,46.165,43.5,8486254.0,16414.8659
2014-08-06,43.89,43.55,44.24,42.66,5368763.0,16396.1872
2014-08-07,43.26,44.09,44.72,42.71,5836657.0,16160.8352
2014-08-08,42.95,43.23,43.23,41.93,6789116.0,16045.0271
2014-08-11,43.12,43.41,43.75,42.75,4973648.0,16108.5348
2014-08-12,42.8,43.41,43.64,42.6001,4529875.0,15988.9909
2014-08-13,44.11,43.09,44.66,42.71,4069837.0,16478.3736
2014-08-14,45.92,44.15,45.94,44.15,5621024.0,17154.5435
2014-08-15,46.01,46.0,46.4,44.99,5649609.0,17188.1652
2014-08-18,47.84,46.4,47.89,46.32,5664978.0,17871.8067
2014-08-19,47.68,47.8,48.32,47.42,5412942.0,17812.0348
2014-08-20,49.25,47.98,49.355,47.808,4813909.0,18398.5468
2014-08-21,48.01,49.45,49.52,47.83,5271508.0,17935.3144
2014-08-22,48.46,48.19,48.8499,48.0,3380737.0,18103.4229
2014-08-25,48.51,48.8,49.0,48.08,3591054.0,18122.1016
2014-08-26,48.22,48.65,48.82,48.075,2270156.0,18013.765
2014-08-27,48.22,48.18,48.7499,47.92,2438136.0,18013.765
2014-08-28,48.32,47.83,48.5,47.52,2208566.0,18051.1225
2014-08-29,47.61,48.15,48.41,47.23,4095976.0,17785.8845
2014-09-02,49.99,48.0,50.0,48.0,6239764.0,18674.992
2014-09-03,49.03,48.74,49.15,48.2,5439576.0,18316.3604
2014-09-04,50.42,49.27,50.86,48.8,5688330.0,18835.629
2014-09-05,50.73,50.29,51.7,49.83,6309829.0,18951.4371
2014-09-08,51.13,51.13,51.74,50.86,5489486.0,19100.867
2014-09-09,50.84,50.9,52.45,50.5,6349269.0,18992.5303
2014-09-10,51.74,51.0,51.9,50.56,4671364.0,19328.7474
2014-09-11,51.03,52.0,52.41,50.6,5889213.0,19063.5095
2014-09-12,50.41,51.04,51.48,50.37,5294849.0,18831.8933
2014-09-15,49.56,50.41,50.5,49.17,4064841.0,18514.3549
2014-09-16,49.54,49.27,49.96,48.44,4920914.0,18506.8834
2014-09-17,48.93,49.84,50.63,48.717,5042884.0,18279.0029
2014-09-18,49.9,49.0,50.05,48.47,3552357.0,18641.3703
2014-09-19,49.38,50.02,50.18,49.22,5738493.0,18447.1115
2014-09-22,47.79,49.47,49.47,47.54,4804810.0,17853.128
2014-09-23,48.25,47.73,48.76,47.0,4098832.0,18024.9723
2014-09-24,48.2,48.15,48.75,47.89,3987468.0,18006.2935
2014-09-25,47.01,47.96,47.96,46.43,5666336.0,17561.7398
2014-09-26,47.33,47.06,47.48,46.65,2837659.0,17681.2837
2014-09-29,46.75,46.68,47.22,46.27,3585617.0,17464.6104
2014-09-30,46.79,46.76,47.26,45.72,5221896.0,17479.5534
2014-10-01,45.47,45.62,46.1501,44.37,10630665.0,16986.435
2014-10-02,46.13,45.8,46.94,45.27,5260717.0,17232.9942
2014-10-03,48.28,46.93,48.85,46.93,6526631.0,18036.1795
2014-10-06,46.94,48.34,48.8,46.89,5318383.0,17535.5896
2014-10-07,45.49,46.63,46.81,45.36,5872138.0,16993.9065
2014-10-08,43.83,45.97,46.0,42.86,10651588.0,16373.7727
2014-10-09,45.04,46.2,47.18,44.46,15993364.0,16825.7979
2014-10-10,43.74,44.89,45.71,42.86,7869628.0,16340.151
2014-10-13,40.55,44.08,44.21,39.46,14875173.0,15148.4482
2014-10-14,43.17,41.63,43.87,41.42,10138694.0,16127.2135
2014-10-15,42.55,40.48,44.19,39.79,15808264.0,15895.5973
2014-10-16,43.77,41.4,44.44,41.357,10699247.0,16351.3582
2014-10-17,44.68,44.25,45.45,43.97,4644522.0,16691.3111
2014-10-20,47.29,45.65,47.63,45.23,8639606.0,17666.3407
2014-10-21,49.51,48.13,50.0,48.07,9313975.0,18495.6762
2014-10-22,49.06,49.68,49.94,48.83,7624887.0,18327.5676
2014-10-23,49.42,46.66,50.55,46.66,15771061.0,18239.4775
2014-10-24,49.62,49.32,50.22,48.15,7256330.0,18313.2916
2014-10-27,51.73,49.64,51.84,49.26,10248958.0,19092.0309
2014-10-28,52.36,51.96,53.26,51.13,8493929.0,19324.5455
2014-10-29,52.26,52.31,52.74,51.54,5327961.0,19287.6385
2014-10-30,51.74,52.18,52.43,51.37,3917400.0,19095.7217
2014-10-31,52.81,52.94,53.65,52.44,6390321.0,19490.6274
2014-11-03,54.28,52.95,54.46,52.81,4793581.0,20033.1614
2014-11-04,55.21,54.99,56.9,54.97,7707511.0,20376.3972
2014-11-05,54.11,55.58,55.65,53.77,3868097.0,19970.4194
2014-11-06,55.66,54.85,56.47,54.6,6666659.0,20542.4791
2014-11-07,54.18,55.43,55.84,53.87,5311441.0,19996.2543
2014-11-10,54.83,53.7,54.96,53.26,3902098.0,20236.1503
2014-11-11,54.66,54.77,55.25,54.24,3633818.0,20173.4083
2014-11-12,54.6,54.28,54.74,53.56,3120318.0,20151.2641
2014-11-13,56.76,54.79,56.79,54.68,6223180.0,20948.4569
2014-11-14,56.1,56.25,57.2,55.725,5260493.0,20704.8702
2014-11-17,55.99,56.08,57.0,55.86,4929362.0,20664.2724
2014-11-18,58.29,56.23,58.86,56.04,6592842.0,21513.1352
2014-11-19,57.54,57.45,58.27,56.47,3836634.0,21236.3321
2014-11-20,56.39,56.79,57.64,56.04,4670786.0,20811.9007
2014-11-21,55.33,56.59,56.63,54.6085,5273718.0,20420.6857
2014-11-24,55.91,56.13,56.5,55.25,3794401.0,20634.7468
2014-11-25,56.25,55.68,56.77,55.11,6844222.0,20760.2308
2014-11-26,56.6,56.53,56.7999,56.24,3549752.0,20889.4056
2014-11-28,61.23,59.64,61.93,59.01,8699384.0,22598.2033
2014-12-01,59.57,61.0,61.21,58.97,5294159.0,21985.5458
2014-12-02,59.38,59.99,60.76,58.12,5597146.0,21915.4223
2014-12-03,59.29,59.53,60.21,57.89,4098407.0,21882.206
2014-12-04,61.75,61.81,63.15,61.19,8911737.0,22790.1201
2014-12-05,63.03,62.58,64.98,61.95,8157015.0,23262.5306
2014-12-08,64.25,63.19,64.94,62.84,5475621.0,23712.797
2014-12-09,62.52,61.64,63.34,61.11,9159933.0,23074.3046
2014-12-10,63.69,64.24,66.35,63.37,8788389.0,23506.1174
2014-12-11,65.8,64.44,66.5,64.38,6767616.0,24284.8567
2014-12-12,64.1,67.31,67.4,63.77,8170593.0,23657.4364
2014-12-15,64.04,64.19,64.84,62.421,6777149.0,23635.2921
2014-12-16,61.63,64.85,65.04,61.56,6412095.0,22745.8316
2014-12-17,62.85,62.07,63.43,59.65,8608503.0,23196.0979
2014-12-18,64.25,63.52,64.6,62.0,5512860.0,23712.797
2014-12-19,64.14,63.42,64.792,63.03,5102079.0,23672.1992
2014-12-22,64.0,64.61,65.99,63.78,4114414.0,23620.5293
2014-12-23,62.48,64.09,64.31,61.8,4957863.0,23059.5417
2014-12-24,64.93,63.12,65.465,63.12,2714807.0,23963.7651
2014-12-26,65.28,65.2,65.69,64.61,3062153.0,24092.9399
2014-12-29,65.22,64.6,65.52,63.87,2874473.0,24070.7956
2014-12-30,66.05,65.3,66.4,64.86,2644611.0,24377.1244
2014-12-31,66.89,66.61,67.77,65.92,4451235.0,24687.1438
2015-01-02,66.34,67.74,68.08,65.71,6215071.0,24484.1549
2015-01-05,66.15,66.87,67.35,65.5,5033887.0,24414.0315
2015-01-06,64.58,66.63,67.0,63.11,6052191.0,23834.5903
2015-01-07,65.53,64.96,66.11,64.0,5135039.0,24185.2076
2015-01-08,66.64,65.7,67.52,65.41,6889597.0,24594.8761
2015-01-09,65.34,66.76,66.97,64.9,3490313.0,24115.0841
2015-01-12,65.92,66.16,66.85,63.84,5246508.0,24329.1452
2015-01-13,66.41,66.84,68.26,65.45,6266291.0,24509.9899
2015-01-14,64.05,65.11,65.54,62.651,6747887.0,23638.9828
2015-01-15,63.83,64.28,66.03,63.72,6255711.0,23557.7873
2015-01-16,65.75,63.56,65.75,62.37,8142163.0,24266.4031
2015-01-20,68.03,67.11,68.54,65.85,9473708.0,25107.8845
2015-01-21,69.21,67.61,69.46,66.68,7082180.0,25543.388
2015-01-22,72.34,71.0,73.2,69.82,9681207.0,26698.5795
2015-01-23,73.1,72.26,73.22,71.51,3811225.0,26979.0733
2015-01-26,73.62,72.54,74.52,72.31,5595253.0,27170.9901
2015-01-27,71.8,72.21,73.5108,71.61,4391943.0,26499.2813
2015-01-28,70.77,72.68,73.8,70.41,4491295.0,26119.1384
2015-01-29,73.53,71.38,73.79,70.711,6116906.0,27137.7737
2015-01-30,69.37,72.88,73.52,68.26,8056783.0,25602.4393
2015-02-02,69.38,69.08,69.38,65.74,9992168.0,25606.13
2015-02-03,67.97,67.3,68.97,66.7,8798098.0,25085.7403
2015-02-04,71.7,68.8,72.23,68.8,6394908.0,26462.3742
2015-02-05,69.6,71.29,71.35,68.63,5160371.0,25687.3256
2015-02-06,67.58,69.04,69.33,67.14,6423552.0,24941.8027
2015-02-09,64.57,65.7,66.67,63.76,7972343.0,23830.8996
2015-02-10,67.63,65.4,67.71,65.23,5488344.0,24960.2562
2015-02-11,67.12,68.34,68.576,66.569,4394791.0,24772.0301
2015-02-12,67.34,66.01,67.55,64.85,4416597.0,24853.2257
2015-02-13,66.23,66.11,66.59,65.39,4363901.0,24443.5571
2015-02-17,64.93,66.5,67.425,64.72,4447269.0,23963.7651
2015-02-18,66.72,65.9,66.74,64.5,4449291.0,24624.4018
2015-02-19,66.09,68.45,68.92,66.04,4806192.0,24391.8872
2015-02-20,68.01,66.09,68.28,65.52,4697722.0,26131.2361
2015-02-23,68.84,69.03,69.83,67.98,5116974.0,26450.144
2015-02-24,70.89,67.95,71.38,67.27,5185595.0,27237.808
2015-02-25,68.69,70.56,70.79,68.67,4416876.0,26392.51
2015-02-26,67.42,69.63,69.7,66.39,7527365.0,25904.5425
2015-02-27,65.18,67.51,67.61,64.71,5823914.0,25043.8754
2015-03-02,66.81,66.14,67.14,65.935,5052371.0,25670.1644
2015-03-03,69.0,66.2,69.04,66.095,6008406.0,26511.6202
2015-03-04,68.67,68.37,69.13,67.59,4579162.0,26384.8255
2015-03-05,67.92,69.3,69.31,67.33,3902648.0,26096.6557
2015-03-06,66.67,67.66,68.31,66.54,2370175.0,25616.3727
2015-03-09,66.15,66.9,67.47,65.82,4612094.0,25416.575
2015-03-10,64.61,65.77,65.98,64.3,4079019.0,24824.8664
2015-03-11,65.97,65.05,66.27,64.78,4881048.0,25347.4142
2015-03-12,67.74,66.19,67.96,66.08,4361298.0,26027.4949
2015-03-13,67.57,68.02,69.11,67.41,4763270.0,25962.1765
2015-03-16,67.92,68.22,68.92,67.41,4283698.0,26096.6557
2015-03-17,69.09,68.46,69.25,67.66,5052266.0,26546.2006
2015-03-18,68.1,69.32,69.5493,67.55,5664394.0,26165.8164
2015-03-19,70.09,68.83,70.31,68.1901,5548465.0,26930.4269
2015-03-20,69.45,69.39,70.3,68.86,10443570.0,26684.522
2015-03-23,67.61,69.77,69.87,67.5,5259962.0,25977.5455
2015-03-24,67.63,67.33,68.42,66.84,4282820.0,25985.23
2015-03-25,65.56,67.55,67.57,65.29,5417869.0,25189.8814
2015-03-26,64.97,64.0,65.19,63.09,5993050.0,24963.1879
2015-03-27,67.75,65.51,67.8,65.51,5120959.0,26031.3372
2015-03-30,68.19,68.25,68.75,67.58,3393434.0,26200.3968
2015-03-31,67.25,67.95,68.1,66.77,3272424.0,25839.224
2015-04-01,64.01,65.06,65.85,63.75,7428037.0,24594.3305
2015-04-02,61.88,64.24,64.54,61.73,7559435.0,23775.9284
2015-04-06,60.12,60.64,61.1799,59.47,8067667.0,23099.6899
2015-04-07,59.57,60.58,61.42,59.29,4870891.0,22888.3654
2015-04-08,60.55,59.85,61.0,59.7,6791628.0,23264.9073
2015-04-09,61.16,62.26,62.915,60.56,8906243.0,23499.2854
2015-04-10,61.05,61.29,62.16,61.0,3731833.0,23457.0205
2015-04-13,61.01,60.57,62.0,60.4,4809329.0,23441.6514
2015-04-14,60.25,60.49,61.0,59.64,4807781.0,23149.6394
2015-04-15,60.99,61.65,61.99,60.35,6011800.0,23433.9669
2015-04-16,62.2,60.95,62.94,60.72,4452547.0,23898.8808
2015-04-17,61.49,61.69,62.55,61.43,4091232.0,23626.0801
2015-04-20,62.4,62.0,62.5,61.06,4736766.0,23975.7261
2015-04-21,63.7,62.7,63.92,62.08,5716642.0,24475.2204
2015-04-22,64.02,63.8,64.24,62.9,6285982.0,24598.1728
2015-04-23,62.8,62.74,64.099,62.3101,8683814.0,23989.692
2015-04-24,63.51,63.44,64.95,63.4,8820914.0,24260.913
2015-04-27,61.98,62.94,63.465,61.743,4916099.0,23676.4508
2015-04-28,61.42,61.8,61.95,59.93,4211943.0,23462.53
2015-04-29,59.87,61.0,61.27,57.95,7503855.0,22870.4277
2015-04-30,59.74,59.9,61.29,59.33,7179945.0,22820.7675
2015-05-01,61.4,60.34,61.96,59.92,4519764.0,23454.8899
2015-05-04,60.92,61.94,62.18,60.59,3769664.0,23271.5292
2015-05-05,59.23,59.91,60.48,58.93,3617217.0,22625.9468
2015-05-06,59.44,59.11,59.9899,57.7,4304246.0,22706.1671
2015-05-07,62.52,59.81,62.79,59.81,7861096.0,23882.7316
2015-05-08,62.44,62.24,63.9,62.07,4828998.0,23852.1715
2015-05-11,62.95,62.7,63.64,62.16,2726494.0,24046.9922
2015-05-12,61.86,62.25,62.35,61.49,4355063.0,23630.6106
2015-05-13,61.23,62.45,63.45,61.06,4511570.0,23389.9497
2015-05-14,61.75,61.6,62.16,61.17,3722928.0,23588.5905
2015-05-15,61.6,62.21,62.58,61.4,2803505.0,23531.2902
2015-05-18,62.25,61.63,62.28,61.39,4207314.0,23779.5912
2015-05-19,60.81,62.74,63.22,60.7154,4842055.0,23229.5091
2015-05-20,54.54,60.57,60.58,54.22,22711304.0,20834.3599
2015-05-21,54.13,54.6,55.37,54.08,10723093.0,20677.7393
2015-05-22,53.69,54.42,54.63,53.11,6738893.0,20509.6586
2015-05-26,51.92,54.1,54.1,51.68,11236748.0,19833.5161
2015-05-27,53.7,52.37,54.0,52.25,6443602.0,20513.4787
2015-05-28,53.49,53.7,54.17,53.28,4948877.0,20433.2584
2015-05-29,54.59,53.56,54.795,52.8,7309863.0,20853.46
2015-06-01,56.31,54.76,56.89,54.07,9487316.0,21510.5025
2015-06-02,55.95,55.12,56.37,54.36,6719786.0,21372.982
2015-06-03,55.87,56.19,56.39,55.31,3668060.0,21342.4218
2015-06-04,54.57,55.5,56.37,53.99,7131128.0,20845.8199
2015-06-05,54.09,54.62,54.94,53.83,4867077.0,20662.4592
2015-06-08,51.73,53.48,53.6,51.03,9231941.0,19760.9358
2015-06-09,52.58,50.35,52.9,49.85,12212166.0,20085.637
2015-06-10,52.42,52.32,53.0999,51.47,6406729.0,20024.5168
2015-06-11,52.5,52.91,53.53,52.33,3370897.0,20055.0769
2015-06-12,52.87,52.0,53.37,52.0,4098333.0,20196.4174
2015-06-15,52.25,52.49,53.01,51.87,3199372.0,19959.5765
2015-06-16,51.23,52.25,52.56,50.85,4767514.0,19569.935
2015-06-17,51.32,51.2,51.835,50.69,3712276.0,19604.3152
2015-06-18,52.01,51.43,52.075,51.01,4278616.0,19867.8962
2015-06-19,53.25,52.64,53.96,52.4,5679970.0,20341.578
2015-06-22,54.8,54.58,55.18,53.84,6806434.0,20933.6803
2015-06-23,55.23,55.84,56.27,54.7,5349391.0,21097.9409
2015-06-24,54.46,55.12,55.85,54.3001,3987597.0,20803.7998
2015-06-25,54.94,54.9,55.4,54.37,4182387.0,20987.1605
2015-06-26,54.48,55.09,55.4,54.19,4252753.0,20811.4398
2015-06-29,52.81,53.85,54.89,52.51,5279045.0,20173.4974
2015-06-30,53.01,53.4,54.28,52.99,4621937.0,20249.8977
2015-07-01,51.69,54.05,54.14,50.1,13075770.0,19745.6557
2015-07-02,51.5,51.88,52.51,50.98,5318875.0,19673.0754
2015-07-06,53.85,52.05,53.95,52.05,6371475.0,20570.7789
2015-07-07,54.31,53.99,54.49,52.54,6627665.0,20746.4996
2015-07-08,52.82,53.44,53.72,52.25,4619129.0,20177.3174
2015-07-09,53.26,53.46,54.12,53.06,3437781.0,20345.398
2015-07-10,55.51,54.69,55.69,54.6,5922622.0,21204.9013
2015-07-13,56.39,56.91,57.39,56.1,4246761.0,21541.0626
2015-07-14,55.73,55.96,56.49,55.21,4516986.0,21288.9416
2015-07-15,55.5,54.92,56.22,53.9,6025218.0,21201.0813
2015-07-16,54.98,55.88,56.44,54.98,5440432.0,21002.4405
2015-07-17,55.39,55.23,56.7,55.03,5893878.0,21159.0611
2015-07-20,55.35,55.69,56.1,54.81,3425540.0,21143.7811
2015-07-21,55.97,55.2,56.3,55.2,4032898.0,21380.622
2015-07-22,57.07,55.81,57.41,55.79,9298903.0,21800.8236
2015-07-23,56.67,58.72,60.0,56.16,10259219.0,21648.023
2015-07-24,56.49,57.78,58.5,56.44,9533967.0,21579.2627
2015-07-27,56.81,56.05,57.24,55.25,5806452.0,21701.5032
2015-07-28,58.42,57.08,58.91,56.75,6206420.0,22316.5256
2015-07-29,57.21,58.1,58.42,56.8,4768076.0,21854.3038
2015-07-30,56.84,57.09,57.31,56.55,3153720.0,21712.9633
2015-07-31,56.39,56.66,56.9,56.36,3476333.0,21541.0626
2015-08-03,58.32,56.86,58.89,56.69,5270687.0,22278.3254
2015-08-04,58.95,59.19,59.85,58.21,4795274.0,22518.9864
2015-08-05,58.11,59.41,59.5,58.05,4580213.0,22198.1051
2015-08-06,57.51,58.41,58.96,56.95,3748966.0,21968.9042
2015-08-07,56.74,57.25,57.63,56.61,3489900.0,21674.7631
2015-08-10,57.15,57.42,58.01,56.9,3073965.0,21831.3837
2015-08-11,57.87,57.22,59.14,57.22,4419842.0,22106.4248
2015-08-12,57.41,57.6,57.74,55.07,4825855.0,21930.7041
2015-08-13,58.35,57.65,58.59,57.18,3337810.0,22289.7855
2015-08-14,58.53,57.97,58.86,57.846,2391773.0,22358.5457
2015-08-17,59.6,58.49,59.9321,58.0,3888970.0,22767.2873
2015-08-18,58.51,59.45,60.12,58.11,3834350.0,22350.9057
2015-08-19,58.23,58.26,59.03,57.87,3825154.0,22243.9453
2015-08-20,56.59,57.59,57.66,56.52,4164800.0,21617.4629
2015-08-21,55.09,55.92,56.675,54.96,6683449.0,21044.4607
2015-08-24,52.33,50.76,54.98,49.2,7089334.0,19990.1367
2015-08-25,52.1,54.37,54.94,52.1,4597146.0,19902.2763
2015-08-26,53.95,53.37,54.22,51.62,4991315.0,20608.979
2015-08-27,53.36,54.38,54.73,52.33,5769712.0,20383.5982
2015-08-28,57.12,56.52,57.35,55.78,19988867.0,21819.9237
2015-08-31,56.97,57.18,58.04,56.88,10560430.0,21762.6235
2015-09-01,57.13,56.01,57.38,55.8,12670942.0,21823.7437
2015-09-02,57.29,57.89,58.09,56.72,67826188.0,21884.8639
2015-09-03,57.25,57.53,58.14,57.045,9954618.0,21869.5839
2015-09-04,56.69,56.8,57.7,56.31,6099658.0,21655.663
2015-09-08,57.51,57.74,58.005,56.91,7115115.0,21968.9042
2015-09-09,57.67,57.0,58.93,56.87,9040968.0,22030.0245
2015-09-10,56.9,57.96,58.36,56.6,6500875.0,21735.8833
2015-09-11,56.83,56.77,57.47,56.34,4028302.0,21709.1432
2015-09-14,57.45,56.89,57.46,56.42,4652076.0,21945.9842
2015-09-15,57.28,57.49,57.7,56.85,5310010.0,21881.0439
2015-09-16,57.95,57.03,57.99,56.76,5151770.0,22136.9849
2015-09-17,61.56,58.19,62.21,58.08,16405897.0,23516.0102
2015-09-18,60.31,60.84,61.35,60.03,7125600.0,23038.5083
2015-09-21,60.45,60.36,61.24,59.59,5417670.0,23091.9885
2015-09-22,58.24,59.95,60.22,58.01,5477364.0,22247.7653
2015-09-23,58.17,58.52,58.89,57.29,4215477.0,22221.0252
2015-09-24,56.33,57.58,57.66,55.77,5748911.0,21518.1425
2015-09-25,55.42,56.99,56.99,54.95,6322938.0,21170.5212
2015-09-28,53.72,55.21,55.24,53.04,5560945.0,20521.1187
2015-09-29,52.46,53.83,54.025,52.11,6290685.0,20039.7968
2015-09-30,53.05,52.88,53.4776,52.24,6347009.0,20265.1777
2015-10-01,53.0,52.95,53.17,52.0,5989950.0,20246.0776
2015-10-02,51.76,52.34,52.38,50.9505,6745544.0,19772.3958
2015-10-05,53.33,52.03,53.63,51.65,5846218.0,20372.1381
2015-10-06,50.78,53.24,53.55,50.52,7744873.0,19398.0344
2015-10-07,51.58,51.04,51.65,49.76,7080516.0,19703.6356
2015-10-08,52.26,51.25,52.43,50.5,5012538.0,19963.3966
2015-10-09,55.71,53.92,56.1,53.42,11375409.0,21281.3016
2015-10-12,57.8,56.1,58.04,55.9,6114311.0,22079.6847
2015-10-13,57.3,57.12,57.76,56.43,6223119.0,21888.6839
2015-10-14,57.51,57.87,58.75,56.4,5912763.0,21968.9042
2015-10-15,57.76,57.79,58.08,56.72,4188469.0,22064.4046
2015-10-16,55.97,57.89,57.98,55.05,14594736.0,21380.622
2015-10-19,56.75,55.9,57.01,55.84,6588376.0,21678.5831
2015-10-20,55.75,56.85,57.07,55.45,7306910.0,21296.5817
2015-10-21,54.55,55.65,55.85,54.2,7460861.0,20838.1799
2015-10-22,56.05,55.09,56.44,54.141,7564821.0,21411.1821
2015-10-23,59.68,57.19,59.8,57.18,12308608.0,22797.8474
2015-10-26,61.02,59.42,61.2,59.1501,6017337.0,23309.7294
2015-10-27,60.94,60.72,61.8,60.4736,5981591.0,23279.1693
2015-10-28,59.55,60.85,60.97,58.7,5823409.0,22748.1872
2015-10-29,60.25,59.13,60.72,58.6,4301864.0,23015.5883
2015-10-30,60.31,60.07,61.87,59.97,5520397.0,23038.5083
2015-11-02,60.6,60.61,61.29,60.44,4011960.0,23149.2888
2015-11-03,60.84,61.0,61.34,60.01,4883349.0,23240.9691
2015-11-04,60.29,60.54,60.93,59.69,6036473.0,23030.8683
2015-11-05,60.3,60.51,60.98,60.185,4623518.0,23034.6883
2015-11-06,61.49,60.18,61.75,60.02,6540712.0,23489.2701
2015-11-09,60.15,61.16,61.42,59.67,3469707.0,22977.3881
2015-11-10,60.06,60.18,60.85,59.03,2659724.0,22943.008
2015-11-11,59.64,60.26,60.44,59.58,2264453.0,22782.5674
2015-11-12,59.25,59.0,60.11,59.0,2707335.0,22633.5868
2015-11-13,58.8,59.1,59.57,58.44,3085183.0,22461.6861
2015-11-16,58.08,57.37,58.21,57.06,6174398.0,22186.6451
2015-11-17,57.38,58.3,59.29,57.02,4413512.0,21919.2441
2015-11-18,57.71,57.49,58.26,56.51,4658813.0,22045.3045
2015-11-19,58.5,58.09,59.3,57.8,3475638.0,22347.0857
2015-11-20,58.81,58.49,59.29,58.36,3563937.0,22465.5061
2015-11-23,58.56,58.85,59.23,58.34,2607120.0,22370.0058
2015-11-24,56.8,57.09,57.24,56.07,7259491.0,21697.6832
2015-11-25,56.22,57.08,57.21,55.93,4622753.0,21476.1224
2015-11-27,56.82,56.4,57.46,56.26,1638547.0,21705.3232
