,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2017-04-20,124.28,125.11,125.32,123.77,873934.0,15067.1864
2017-04-21,123.78,124.06,124.505,123.19,656459.0,15006.5685
2017-04-24,123.46,124.0,124.51,122.91,807816.0,14967.773
2017-04-25,124.02,124.26,124.44,123.0,966422.0,15035.6651
2017-04-26,123.65,123.98,124.99,123.11,752669.0,14990.8078
2017-04-27,125.33,123.98,125.88,122.43,1087289.0,15194.484
2017-04-28,126.49,125.04,127.05,124.27,885172.0,15335.1175
2017-05-01,127.25,126.74,127.84,126.06,1317389.0,15427.2567
2017-05-02,128.98,129.01,130.78,127.61,1471984.0,15636.9947
2017-05-03,127.84,129.28,129.59,127.56,1041219.0,15498.7859
2017-05-04,128.19,127.99,129.0,126.78,945614.0,15541.2184
2017-05-05,129.62,128.53,129.7,128.28,1049638.0,15714.5856
2017-05-08,131.42,129.97,132.01,129.22,1251045.0,15941.4008
2017-05-09,129.75,131.18,131.59,129.47,1048642.0,15738.8278
2017-05-10,129.19,129.8,130.2,128.96,811669.0,15670.8992
2017-05-11,127.72,128.63,129.19,127.2,1513152.0,15492.5865
2017-05-12,127.53,127.53,128.23,126.82,1175229.0,15469.5392
2017-05-15,130.41,128.03,130.81,127.31,1395494.0,15818.8866
2017-05-16,130.77,130.72,132.62,130.265,1024527.0,15862.555
2017-05-17,134.08,130.04,136.344,130.04,2640772.0,16264.0619
2017-05-18,132.0,133.1,133.19,126.83,2085423.0,16011.7555
2017-05-19,132.8,131.79,133.43,130.85,855374.0,16108.7964
2017-05-22,133.83,132.55,134.42,131.82,595322.0,16233.7366
2017-05-23,134.31,134.3,134.69,133.745,583654.0,16291.9612
2017-05-24,134.065,134.52,134.885,134.01,578007.0,16262.2424
2017-05-25,135.55,134.75,137.025,134.18,1098146.0,16442.3747
2017-05-26,136.02,135.5,136.14,135.02,665807.0,16499.3862
2017-05-30,137.98,136.02,138.25,136.02,1858176.0,16737.1365
2017-05-31,138.18,138.26,140.38,137.46,1693121.0,16761.3968
2017-06-01,138.25,138.3,138.81,137.52,750558.0,16769.8879
2017-06-02,138.69,139.27,139.75,138.3,826688.0,16823.2604
2017-06-05,137.93,138.12,139.4,137.77,705772.0,16731.0715
2017-06-06,136.99,137.91,138.77,136.82,1198317.0,16617.0484
2017-06-07,135.9,137.61,137.63,134.71,1065747.0,16484.8301
2017-06-08,134.27,135.95,136.32,133.01,1311463.0,16287.1092
2017-06-09,134.3,134.26,135.64,133.29,924809.0,16290.7482
2017-06-12,132.42,132.28,132.98,129.4,1170933.0,16062.702
2017-06-13,132.05,133.46,133.48,131.58,1119802.0,16017.8206
2017-06-14,132.91,133.06,134.89,132.52,966516.0,16122.1393
2017-06-15,132.22,132.41,132.97,131.72,692317.0,16038.4415
2017-06-16,133.05,132.06,133.87,132.06,964691.0,16139.1215
2017-06-19,132.96,133.0,133.66,132.62,677559.0,16128.2044
2017-06-20,131.56,132.96,133.8,131.26,894073.0,15958.3827
2017-06-21,131.08,131.56,132.13,130.74,742705.0,15900.1582
2017-06-22,131.24,131.32,132.32,130.94,580284.0,15919.5663
