,LYV US Equity,LYV US Equity,LYV US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2021-06-28,88.29,19307.5426,4105940.0
2021-06-29,88.48,19349.0925,1888218.0
2021-06-30,87.59,19154.4644,2689809.0
2021-07-01,88.59,19373.1476,1761269.0
2021-07-02,87.29,19088.8594,1729762.0
2021-07-06,84.95,18577.1406,2046754.0
2021-07-07,83.6,18281.9183,1655698.0
2021-07-08,82.1,17953.8934,1461845.0
2021-07-09,83.66,18295.0393,1623994.0
2021-07-12,84.39,18454.678,1194845.0
2021-07-13,81.78,17883.9148,2055970.0
2021-07-14,80.94,17700.2209,1577722.0
2021-07-15,79.93,17479.3508,1935933.0
2021-07-16,78.53,17173.1943,2994379.0
2021-07-19,74.79,16355.319,3774341.0
2021-07-20,76.99,16836.4221,3591770.0
2021-07-21,80.0,17494.6586,2456889.0
2021-07-22,78.8,17232.2388,1342875.0
2021-07-23,77.71,16993.874,1434929.0
2021-07-26,82.18,17971.3881,2714206.0
2021-07-27,80.29,17558.0768,2267191.0
2021-07-28,80.21,17540.5821,1176844.0
2021-07-29,80.72,17652.1106,1519379.0
2021-07-30,78.89,17251.9203,1479926.0
2021-08-02,79.12,17302.2174,1533555.0
2021-08-03,78.33,17153.4932,3007250.0
2021-08-04,79.49,17407.5217,4145086.0
2021-08-05,84.76,18561.5994,2465602.0
2021-08-06,85.41,18703.943,1937437.0
2021-08-09,83.31,18244.0638,1587309.0
2021-08-10,83.75,18340.4195,2204657.0
2021-08-11,83.77,18344.7993,1780761.0
2021-08-12,84.02,18399.5468,1505469.0
2021-08-13,81.58,17865.211,1341102.0
2021-08-16,81.14,17768.8553,2067747.0
2021-08-17,80.56,17641.8411,2298472.0
2021-08-18,80.87,17709.728,1313734.0
2021-08-19,79.5,17409.7116,2281385.0
2021-08-20,80.2,17563.0047,2114582.0
2021-08-23,83.44,18272.5325,2103758.0
2021-08-24,85.74,18776.2097,2814443.0
2021-08-25,85.89,18809.0582,1679561.0
2021-08-26,84.75,18559.4095,1890367.0
2021-08-27,86.9,19030.2382,1314828.0
2021-08-30,86.57,18957.9715,1346318.0
2021-08-31,86.7,18986.4402,2638370.0
2021-09-01,86.36,18911.9836,909139.0
2021-09-02,86.69,18984.2503,903666.0
2021-09-03,86.08,18850.6663,744475.0
2021-09-07,87.68,19201.0505,1199977.0
2021-09-08,86.69,18984.2503,951622.0
2021-09-09,86.38,18916.3634,1313303.0
2021-09-10,86.08,18850.6663,1448261.0
2021-09-13,89.11,19514.2063,2074963.0
2021-09-14,88.68,19420.0406,1877321.0
2021-09-15,86.54,19404.8073,4433545.0
2021-09-16,86.81,19465.3492,2225811.0
2021-09-17,86.83,19226.2172,3888321.0
2021-09-20,86.74,19206.289,1427401.0
2021-09-21,85.22,18869.7251,2147310.0
2021-09-22,88.32,19556.1384,2020812.0
2021-09-23,91.59,20280.1938,2682083.0
2021-09-24,92.74,20534.8311,1582449.0
2021-09-27,93.64,20734.1124,2501443.0
2021-09-28,92.42,20463.9755,1488276.0
2021-09-29,91.41,20240.3376,2431164.0
2021-09-30,91.13,20178.339,2014566.0
2021-10-01,98.73,21861.1588,4464338.0
2021-10-04,97.97,21692.8769,2274853.0
2021-10-05,99.83,22104.7249,2287176.0
2021-10-06,101.03,22370.4333,2090735.0
2021-10-07,98.97,21914.3005,1751603.0
2021-10-08,98.34,21774.8036,1177867.0
2021-10-11,98.04,21708.3765,1064383.0
2021-10-12,100.06,22155.6523,1604357.0
2021-10-13,99.62,22058.2259,1977479.0
2021-10-14,100.41,22233.1506,1354643.0
2021-10-15,101.57,22490.0021,1447921.0
2021-10-18,102.41,22675.9979,1560808.0
2021-10-19,100.01,22144.5811,2276675.0
2021-10-20,100.26,22199.9371,1019930.0
2021-10-21,100.57,22268.5784,813268.0
2021-10-22,100.75,22308.4347,884184.0
2021-10-25,100.52,22257.5072,1202177.0
2021-10-26,101.09,22383.7187,886699.0
2021-10-27,100.61,22277.4353,2056096.0
2021-10-28,100.44,22239.7933,2582762.0
2021-10-29,101.15,22397.0041,1175103.0
2021-11-01,104.04,23036.9185,1567235.0
2021-11-02,106.78,23643.6194,2364311.0
2021-11-03,105.28,23311.4839,1634925.0
2021-11-04,107.52,24155.4429,1958409.0
2021-11-05,123.8,27812.9076,8015293.0
2021-11-08,117.14,26316.672,5805194.0
2021-11-09,116.61,26197.6023,3005814.0
2021-11-10,115.01,25838.1463,3102927.0
2021-11-11,114.26,25669.6513,1648267.0
2021-11-12,112.32,25233.8109,2739393.0
2021-11-15,115.94,26047.0801,1721631.0
2021-11-16,115.71,25995.4083,1672064.0
2021-11-17,115.1,25858.3657,2356906.0
2021-11-18,112.96,25377.5933,2424166.0
2021-11-19,112.54,25283.2361,3099646.0
2021-11-22,112.11,25186.6323,3112442.0
2021-11-23,112.74,25328.1681,1451135.0
2021-11-24,112.61,25298.9623,1393313.0
2021-11-26,103.53,23259.0495,4582073.0
2021-11-29,107.85,24229.5807,2855868.0
2021-11-30,106.65,23959.9887,3134256.0
2021-12-01,102.83,23101.7875,3038196.0
2021-12-02,106.31,23883.6043,2713182.0
2021-12-03,100.93,22674.9335,3765442.0
2021-12-06,107.11,24063.3323,2886544.0
2021-12-07,108.63,24404.8155,1824077.0
2021-12-08,110.48,24820.4365,2180876.0
2021-12-09,110.73,24876.6015,1854224.0
2021-12-10,111.87,25132.7139,1513758.0
2021-12-13,108.6,24398.0757,2276442.0
2021-12-14,108.19,24305.9651,1500196.0
2021-12-15,106.42,23908.3169,2574324.0
2021-12-16,101.4,22780.5237,3601072.0
2021-12-17,105.14,23620.7521,3833169.0
2021-12-20,106.87,24009.4139,2833358.0
2021-12-21,114.22,25660.6649,2725623.0
2021-12-22,116.92,26267.2468,3329402.0
2021-12-23,118.54,26631.196,1800026.0
2021-12-27,120.19,27001.885,1452539.0
2021-12-28,120.09,26979.419,1546341.0
2021-12-29,119.83,26921.0074,1457455.0
2021-12-30,119.71,26894.0482,1289973.0
2021-12-31,119.69,26889.555,1488164.0
2022-01-03,121.14,27215.312,2165516.0
2022-01-04,120.72,27120.9548,2410067.0
2022-01-05,117.47,26390.8098,2397607.0
2022-01-06,119.34,26810.924,1906589.0
2022-01-07,115.86,26029.1073,1957136.0
2022-01-10,115.32,25907.7909,3198241.0
2022-01-11,116.0,26060.5597,1718885.0
2022-01-12,114.0,25611.2397,2593633.0
2022-01-13,113.87,25582.0339,1710358.0
2022-01-14,114.81,25793.2143,1349180.0
2022-01-18,115.21,25883.0783,2450603.0
2022-01-19,113.28,25449.4845,1636377.0
2022-01-20,112.44,25260.7701,1558860.0
2022-01-21,109.74,24654.1881,2195317.0
2022-01-24,108.82,24447.5009,4281330.0
2022-01-25,106.12,23840.9189,2698555.0
2022-01-26,104.73,23528.6415,2347873.0
2022-01-27,101.64,22834.4421,2034183.0
2022-01-28,105.27,23649.9579,2062837.0
2022-01-31,109.51,24602.5163,2028485.0
2022-02-01,111.09,24957.4791,1874989.0
2022-02-02,109.45,24589.0367,1534363.0
2022-02-03,105.84,23778.0141,2440186.0
2022-02-04,108.36,24344.1573,1380130.0
2022-02-07,111.02,24941.7529,1489539.0
2022-02-08,116.59,26193.1091,1941172.0
2022-02-09,118.02,26514.3728,1617829.0
2022-02-10,118.93,26718.8134,1365449.0
