,CMG US Equity,CMG US Equity,CMG US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-10-16,12.92,20035.471,24936200.0
2014-10-17,12.834,19903.3444,34375200.0
2014-10-20,13.061,20254.1311,60802650.0
2014-10-21,12.151,18841.7433,112729550.0
2014-10-22,12.18,18886.4016,50120500.0
2014-10-23,12.2,18917.7244,30959950.0
2014-10-24,12.316,19096.9776,24679950.0
2014-10-27,12.602,19541.389,28307800.0
2014-10-28,12.917,20029.5283,30213200.0
2014-10-29,12.797,19843.7625,22097650.0
2014-10-30,12.794,19838.1802,13191300.0
2014-10-31,12.76,19786.0789,22073300.0
2014-11-03,12.771,19802.5156,15319050.0
2014-11-04,12.954,20086.2815,20399300.0
2014-11-05,12.852,19928.427,16411350.0
2014-11-06,12.942,20068.9144,11641750.0
2014-11-07,12.981,20128.1486,15041850.0
2014-11-10,12.977,20122.8764,13778500.0
2014-11-11,13.133,20364.4651,17803850.0
2014-11-12,13.285,20600.1613,20954750.0
2014-11-13,13.415,20801.7436,17444750.0
2014-11-14,13.396,20772.2816,13890850.0
2014-11-17,13.166,20416.2562,18360400.0
2014-11-18,13.162,20409.1233,12269500.0
2014-11-19,13.171,20423.6993,11709350.0
2014-11-20,13.257,20556.1233,10587050.0
2014-11-21,13.158,20402.6107,17447800.0
2014-11-24,13.191,20454.0917,22746850.0
2014-11-25,13.098,20310.1929,23020300.0
2014-11-26,13.204,20474.8702,8115400.0
2014-11-28,13.272,20580.6233,8639850.0
2014-12-01,13.218,20495.6486,13606200.0
2014-12-02,13.201,20469.598,14344850.0
2014-12-03,13.025,20197.617,19562050.0
2014-12-04,13.279,20591.4778,18897650.0
2014-12-05,13.211,20486.0347,8493650.0
2014-12-08,13.141,20376.2499,14502250.0
2014-12-09,13.142,20378.1107,20625300.0
2014-12-10,13.001,20159.4714,15384700.0
2014-12-11,13.088,20294.3765,13485300.0
2014-12-12,13.153,20396.098,14426100.0
2014-12-15,12.977,20121.9461,21740100.0
2014-12-16,12.67,19647.1422,20779250.0
2014-12-17,12.983,20131.8701,16927850.0
2014-12-18,13.112,20331.9018,16008100.0
2014-12-19,13.028,20202.2689,19762650.0
2014-12-22,13.353,20705.9145,19096350.0
2014-12-23,13.384,20753.9841,11307050.0
2014-12-24,13.456,20865.0095,6843500.0
2014-12-26,13.561,21028.4462,10600450.0
2014-12-29,13.854,21482.1615,25253750.0
2014-12-30,13.698,21240.8829,13444200.0
2014-12-31,13.69,21228.4779,15144800.0
2015-01-02,13.568,21038.9905,16250750.0
2015-01-05,13.354,20706.8449,18720700.0
2015-01-06,13.288,20604.193,30470200.0
2015-01-07,13.885,21530.8513,34277650.0
2015-01-08,14.4,22328.8072,58579200.0
2015-01-09,14.285,22151.4147,20217700.0
2015-01-12,14.234,22071.7122,13840650.0
2015-01-13,14.281,22144.9021,17409000.0
2015-01-14,14.195,22010.9274,15937150.0
2015-01-15,14.016,21733.0539,17246100.0
2015-01-16,14.222,22053.4147,15804700.0
2015-01-20,14.116,21888.1172,17046300.0
2015-01-21,14.078,21829.5033,15374700.0
2015-01-22,14.269,22125.6742,15094900.0
2015-01-23,14.274,22133.4274,16240200.0
2015-01-26,14.469,22435.4907,11399600.0
2015-01-27,14.427,22370.3641,13793450.0
2015-01-28,14.24,22080.7058,12237300.0
2015-01-29,14.291,22159.478,13684850.0
2015-01-30,14.197,22014.0286,19292150.0
2015-02-02,14.251,22098.0729,23436400.0
2015-02-03,14.533,22534.7312,68212300.0
2015-02-04,13.52,20971.0882,123736800.0
2015-02-05,13.418,20813.1846,41514000.0
2015-02-06,13.198,20472.2493,43509450.0
2015-02-09,12.96,20102.7734,32324350.0
2015-02-10,13.301,20630.7733,36724100.0
2015-02-11,13.393,20773.7862,26442100.0
2015-02-12,13.406,20793.9507,14434350.0
2015-02-13,13.498,20936.6534,18871800.0
2015-02-17,13.419,20813.805,14036750.0
2015-02-18,13.491,20926.7263,14852150.0
2015-02-19,13.466,20886.7075,14791500.0
2015-02-20,13.48,20909.0435,13314750.0
2015-02-23,13.423,20821.2504,10796250.0
2015-02-24,13.358,20720.1176,11792200.0
2015-02-25,13.51,20956.1975,18958550.0
2015-02-26,13.406,20793.9507,14109400.0
2015-02-27,13.299,20628.912,22055050.0
2015-03-02,13.417,20811.6335,19945150.0
2015-03-03,13.369,20736.2492,13221200.0
2015-03-04,13.283,20603.7839,15299700.0
2015-03-05,13.41,20800.1552,12490050.0
2015-03-06,13.174,20433.7816,19081400.0
2015-03-09,13.207,20485.2787,16091200.0
2015-03-10,13.095,20311.5537,12044750.0
2015-03-11,13.215,20498.6183,17553550.0
2015-03-12,13.408,20797.053,13859000.0
2015-03-13,13.49,20924.8649,17969000.0
2015-03-16,13.578,21060.4325,13751250.0
2015-03-17,13.44,20846.9989,15281750.0
2015-03-18,13.466,20886.7075,23844100.0
2015-03-19,13.613,21115.9624,19534900.0
2015-03-20,13.733,21301.4759,22864200.0
2015-03-23,13.747,21322.8813,13999900.0
2015-03-24,13.616,21120.3055,16598200.0
2015-03-25,13.319,20659.9343,18541950.0
2015-03-26,13.176,20455.6191,18521950.0
2015-03-27,13.254,20576.7097,14335250.0
2015-03-30,13.107,20348.19,20995950.0
2015-03-31,13.011,20198.5344,16610350.0
2015-04-01,13.051,20260.3217,20248800.0
2015-04-02,13.048,20255.9748,15402350.0
2015-04-06,13.2,20492.8778,14212150.0
2015-04-07,13.169,20444.4415,16187700.0
2015-04-08,13.091,20323.0404,27484850.0
2015-04-09,13.034,20235.1721,18770400.0
2015-04-10,13.66,21207.0019,59720650.0
2015-04-13,13.675,21229.0466,25720150.0
2015-04-14,13.557,21046.4792,21906300.0
2015-04-15,13.552,21038.717,18184750.0
2015-04-16,13.631,21161.36,17034400.0
2015-04-17,13.679,21235.8773,25980850.0
2015-04-20,13.739,21328.4029,21787950.0
2015-04-21,13.85,21501.9662,94165250.0
2015-04-22,12.825,19908.1693,188829750.0
2015-04-23,12.712,19733.3756,54716900.0
2015-04-24,12.75,19792.3646,39682750.0
2015-04-27,12.875,19986.4074,37990350.0
2015-04-28,12.792,19856.942,31735800.0
2015-04-29,12.601,19561.6865,39470750.0
2015-04-30,12.427,19290.6475,28172000.0
2015-05-01,12.68,19683.7006,26183500.0
2015-05-04,12.671,19670.3505,15931100.0
2015-05-05,12.513,19425.0804,21054000.0
2015-05-06,12.545,19473.5135,25943850.0
2015-05-07,12.576,19522.8779,15941750.0
2015-05-08,12.676,19678.1122,22175850.0
2015-05-11,12.713,19735.5488,20829950.0
2015-05-12,12.711,19731.8232,14528650.0
2015-05-13,12.706,19724.6824,16314250.0
2015-05-14,12.691,19700.1554,18040850.0
2015-05-15,12.647,19633.0943,21898400.0
2015-05-18,12.722,19748.899,20203650.0
2015-05-19,12.735,19769.0794,19003450.0
2015-05-20,12.565,19504.8708,26007500.0
2015-05-21,12.667,19663.8306,21938050.0
2015-05-22,12.529,19448.9865,27536250.0
2015-05-26,12.443,19316.1059,23873750.0
2015-05-27,12.25,19016.1934,37238650.0
2015-05-28,12.588,19541.5061,44696750.0
2015-05-29,12.31,19109.9549,39456250.0
2015-06-01,12.298,19090.7058,19810900.0
2015-06-02,12.211,18956.273,18583400.0
2015-06-03,12.218,18966.208,19766650.0
2015-06-04,12.231,18987.3198,25425850.0
2015-06-05,12.276,19056.5543,39650550.0
2015-06-08,12.162,18880.2082,21849450.0
2015-06-09,12.116,18807.8691,16983100.0
2015-06-10,12.173,18897.284,11238250.0
2015-06-11,12.117,18810.0424,12122700.0
2015-06-12,12.195,18931.1251,21586350.0
2015-06-15,12.083,18757.5732,22106100.0
2015-06-16,12.012,18647.3569,19247600.0
2015-06-17,12.137,18840.4683,22772850.0
2015-06-18,12.124,18820.5983,19289150.0
2015-06-19,12.306,19103.4351,34909500.0
2015-06-22,12.385,19225.7596,25376200.0
2015-06-23,12.308,19106.2293,19746800.0
2015-06-24,12.211,18955.0311,15258050.0
2015-06-25,12.148,18857.2336,12436800.0
2015-06-26,12.189,18921.811,12976250.0
2015-06-29,12.001,18629.6602,18649300.0
2015-06-30,12.1,18783.0316,18803100.0
2015-07-01,12.131,18832.0856,11881850.0
2015-07-02,12.191,18924.9157,17009500.0
2015-07-06,12.143,18850.7137,26788700.0
2015-07-07,12.411,19266.431,29652450.0
2015-07-08,12.257,19027.0598,26119200.0
2015-07-09,12.543,19471.3402,41060200.0
2015-07-10,12.788,19851.9745,39246250.0
2015-07-13,13.16,20428.8249,36276550.0
2015-07-14,13.109,20349.9659,29883800.0
2015-07-15,13.224,20527.8644,28463750.0
2015-07-16,13.169,20443.1065,38881400.0
2015-07-17,13.239,20551.46,28056600.0
2015-07-20,13.56,21049.7619,48646000.0
2015-07-21,13.461,20896.7009,84059850.0
2015-07-22,14.516,22603.3232,151694400.0
2015-07-23,14.519,22607.0602,52947850.0
2015-07-24,14.576,22695.8143,29550450.0
2015-07-27,14.629,22778.34,35636800.0
2015-07-28,14.616,22757.7864,21697350.0
2015-07-29,14.768,22995.7096,29771200.0
2015-07-30,14.883,23174.4634,22088500.0
2015-07-31,14.845,23114.3598,19332350.0
2015-08-03,14.861,23139.5846,22688500.0
2015-08-04,14.962,23296.8506,19976550.0
2015-08-05,15.155,23598.3029,26694400.0
2015-08-06,14.992,23343.8746,20284350.0
2015-08-07,14.982,23328.9266,19307500.0
2015-08-10,14.885,23176.9547,21742200.0
2015-08-11,14.913,23221.176,23056100.0
2015-08-12,14.92,23231.1414,22392800.0
2015-08-13,14.872,23157.024,11164900.0
2015-08-14,14.967,23304.636,12099650.0
2015-08-17,15.081,23481.8327,13614400.0
2015-08-18,14.918,23229.2729,20518150.0
2015-08-19,14.906,23209.3422,14041500.0
2015-08-20,14.703,22893.876,22506700.0
2015-08-21,14.4,22422.3895,35333300.0
2015-08-24,14.085,21931.5951,42138450.0
2015-08-25,13.908,21655.679,34826350.0
2015-08-26,14.153,22037.1658,36617400.0
2015-08-27,14.543,22645.3646,29192250.0
2015-08-28,14.424,22459.4482,11779200.0
2015-08-31,14.2,22110.9718,23236900.0
2015-09-01,14.134,22008.2039,20472600.0
2015-09-02,14.477,22542.5968,18713850.0
2015-09-03,14.5,22577.4756,14906900.0
2015-09-04,14.385,22398.0989,14694000.0
2015-09-08,14.643,22800.1392,12092450.0
2015-09-09,14.377,22385.6422,17016950.0
2015-09-10,14.464,22521.4204,11035150.0
2015-09-11,14.581,22704.2226,32211500.0
2015-09-14,14.536,22633.8422,13387300.0
2015-09-15,14.642,22798.2707,14806400.0
2015-09-16,14.6,22733.8073,15436700.0
2015-09-17,14.604,22739.7242,14255900.0
2015-09-18,14.59,22717.3021,26097650.0
2015-09-21,14.624,22770.5546,16269250.0
2015-09-22,14.539,22639.1363,17712150.0
2015-09-23,14.631,22782.3884,10650700.0
2015-09-24,14.623,22769.9317,20281450.0
2015-09-25,14.606,22742.2155,21005400.0
2015-09-28,14.161,22049.311,28316950.0
2015-09-29,14.171,22065.1934,24154900.0
2015-09-30,14.405,22429.8635,17770450.0
2015-10-01,14.489,22560.0362,15752550.0
2015-10-02,14.489,22560.659,25150550.0
2015-10-05,14.562,22673.7036,21323550.0
2015-10-06,14.265,22211.8711,18034700.0
2015-10-07,14.403,22427.0608,19367700.0
2015-10-08,14.695,22882.0421,24905000.0
2015-10-09,14.659,22824.7412,17779250.0
2015-10-12,14.956,23288.4423,21681800.0
2015-10-13,15.008,23369.4109,20938450.0
2015-10-14,14.371,22377.2339,48083500.0
2015-10-15,14.476,22540.7283,31430700.0
2015-10-16,14.454,22506.1609,17369650.0
2015-10-19,14.373,22379.7253,35743150.0
2015-10-20,14.113,21974.5708,109733650.0
2015-10-21,13.313,20760.5857,100545100.0
2015-10-22,13.012,20291.2137,40155550.0
2015-10-23,12.994,20263.145,34540900.0
2015-10-26,13.194,20574.0844,33599000.0
2015-10-27,13.131,20476.1556,19406650.0
2015-10-28,13.098,20424.3844,25358850.0
2015-10-29,12.964,20215.74,19086200.0
2015-10-30,12.805,19967.1756,32232000.0
2015-11-02,12.48,19461.0024,107008400.0
2015-11-03,12.463,19434.8049,46039700.0
2015-11-04,12.3,19179.6911,60856450.0
2015-11-05,12.345,19249.863,41755250.0
2015-11-06,12.248,19099.2273,79828300.0
2015-11-09,12.186,19002.2342,37707650.0
2015-11-10,12.578,19613.1974,54489400.0
2015-11-11,12.437,19393.6374,29821050.0
2015-11-12,12.294,19170.3348,29655100.0
2015-11-13,11.858,18490.7591,60782850.0
2015-11-16,11.775,18361.331,41939950.0
2015-11-17,11.672,18200.4035,29045000.0
2015-11-18,11.88,18525.3773,25890050.0
2015-11-19,12.23,19071.4705,56275250.0
2015-11-20,10.724,16722.4277,251180850.0
2015-11-23,11.186,17442.859,183127750.0
2015-11-24,11.556,18019.8278,66068100.0
2015-11-25,11.617,18114.6378,59036000.0
2015-11-27,11.532,17983.3384,15640150.0
2015-11-30,11.591,18074.7178,33057300.0
2015-12-01,11.615,18111.831,36931000.0
2015-12-02,11.493,17922.2109,34606800.0
2015-12-03,11.306,17630.6078,67600050.0
2015-12-04,11.224,17502.4271,135422700.0
2015-12-07,11.035,17207.7052,223288650.0
2015-12-08,10.845,16911.1121,202804050.0
2015-12-09,10.96,17091.064,105518350.0
2015-12-10,11.509,17946.2253,132284250.0
2015-12-11,11.3,17620.9397,76384550.0
2015-12-14,11.163,17407.6171,45239400.0
2015-12-15,11.097,17304.6984,45762600.0
2015-12-16,11.357,17709.2003,43602450.0
2015-12-17,11.098,17305.634,57237850.0
2015-12-18,10.822,16874.9346,75320100.0
2015-12-21,10.44,16280.1889,154899150.0
2015-12-22,9.892,15425.6513,228217500.0
2015-12-23,9.95,15515.1594,122863000.0
2015-12-24,9.902,15440.9331,44715350.0
2015-12-28,9.87,15391.6569,47855650.0
2015-12-29,9.799,15280.0056,43320150.0
2015-12-30,9.716,15150.5775,53040650.0
2015-12-31,9.597,14965.3237,59828400.0
2016-01-04,8.976,13997.2636,134515800.0
2016-01-05,8.981,14004.1248,108062750.0
2016-01-06,8.533,13306.7723,182344050.0
2016-01-07,8.32,12974.0016,94598900.0
2016-01-08,8.266,12889.4835,64859150.0
2016-01-11,8.222,12821.1828,73126750.0
2016-01-12,8.085,12607.8603,82921200.0
2016-01-13,8.566,13356.9841,177625000.0
2016-01-14,9.086,14168.483,188494150.0
2016-01-15,9.519,14843.3806,165384900.0
2016-01-19,9.389,14641.5974,112792200.0
2016-01-20,9.31,14517.783,89364900.0
2016-01-21,9.224,14383.6768,59943300.0
2016-01-22,9.015,14058.0792,71515500.0
2016-01-25,8.843,13790.1786,78721850.0
2016-01-26,8.963,13976.6798,38347850.0
2016-01-27,8.853,13804.8367,65856100.0
2016-01-28,9.062,14130.4342,50998050.0
2016-01-29,9.059,14127.0036,76732250.0
2016-02-01,9.453,14740.4618,116851100.0
2016-02-02,9.513,14834.9599,136260100.0
2016-02-03,9.235,14400.518,189935650.0
2016-02-04,9.418,14686.1955,74481500.0
2016-02-05,9.203,13824.5614,76397700.0
2016-02-08,8.9,13369.6915,71363600.0
2016-02-09,8.819,13247.4114,56950800.0
2016-02-10,8.976,13484.1601,49631200.0
2016-02-11,9.228,13862.1167,64164650.0
2016-02-12,9.611,14438.3655,87754350.0
2016-02-16,9.859,14810.0128,56559800.0
2016-02-17,10.28,15443.0452,81944200.0
2016-02-18,10.319,15500.7302,56448400.0
2016-02-19,10.232,15370.0377,70670900.0
2016-02-22,10.518,15800.2713,71451450.0
2016-02-23,10.501,15775.0342,72583400.0
2016-02-24,10.297,15468.5828,52013400.0
2016-02-25,10.107,15182.2611,59044950.0
2016-02-26,10.12,15202.6912,51506650.0
2016-02-29,10.183,15297.3306,71335000.0
2016-03-01,10.199,15321.6664,42754600.0
2016-03-02,10.514,15793.962,60399250.0
2016-03-03,10.486,15751.9001,54015850.0
2016-03-04,10.58,15893.4085,75596900.0
2016-03-07,10.674,16034.316,41245600.0
2016-03-08,10.494,15763.9178,55183750.0
2016-03-09,10.133,15221.3186,169963300.0
2016-03-10,10.074,15132.6881,65468900.0
2016-03-11,10.157,15257.9726,65743700.0
2016-03-14,10.315,15494.7213,57505400.0
2016-03-15,10.06,15112.258,60685000.0
2016-03-16,10.007,15032.6407,155982450.0
2016-03-17,9.432,14168.5681,114098200.0
2016-03-18,9.107,13681.2503,143925000.0
2016-03-21,9.25,13894.865,67384150.0
2016-03-22,9.435,14173.6756,51341650.0
2016-03-23,9.489,14254.7951,39911550.0
2016-03-24,9.427,13935.1256,50962400.0
2016-03-28,9.506,14051.6039,36947750.0
2016-03-29,9.2,13598.9939,77061600.0
2016-03-30,9.323,13780.8065,53430150.0
2016-03-31,9.419,13923.3004,40117700.0
2016-04-01,9.296,13741.1921,49427400.0
2016-04-04,9.3,13746.8091,33837800.0
2016-04-05,9.268,13700.0995,31488300.0
2016-04-06,9.105,13458.5695,49467700.0
2016-04-07,9.012,13321.1014,64415700.0
2016-04-08,9.025,13340.3174,41604700.0
2016-04-11,8.884,13132.1937,41255450.0
2016-04-12,8.892,13144.3145,53254050.0
2016-04-13,8.893,13145.497,53387250.0
2016-04-14,9.12,13481.0374,58511600.0
2016-04-15,9.386,13873.6345,63553100.0
2016-04-18,9.202,13602.5415,46311050.0
2016-04-19,9.104,13456.5001,32441250.0
2016-04-20,9.16,13539.8679,24155100.0
2016-04-21,8.963,13248.3764,37008350.0
2016-04-22,8.855,13088.4404,46087600.0
2016-04-25,8.862,13099.3787,48859050.0
2016-04-26,8.918,13182.7464,85957300.0
2016-04-27,8.344,12183.4132,194229800.0
2016-04-28,8.468,12363.8779,71455550.0
2016-04-29,8.419,12292.9185,48152550.0
2016-05-02,8.67,12658.8122,48273750.0
2016-05-03,8.759,12788.7585,64520400.0
2016-05-04,8.666,12652.9719,33737950.0
2016-05-05,8.7,12702.6143,30494000.0
2016-05-06,8.676,12667.8646,36727000.0
2016-05-09,9.063,13233.204,71046250.0
2016-05-10,9.112,13303.8714,39056600.0
2016-05-11,9.08,13257.4411,52297550.0
2016-05-12,9.14,13345.3374,54674150.0
2016-05-13,9.167,13384.4673,44970200.0
2016-05-16,8.891,12981.7798,74648100.0
2016-05-17,8.922,13026.166,36825350.0
2016-05-18,8.972,13100.0455,27448950.0
2016-05-19,9.013,13159.3244,30327550.0
2016-05-20,8.998,13138.2994,65711950.0
2016-05-23,9.129,13328.6926,52837700.0
2016-05-24,9.147,13354.6818,32580000.0
2016-05-25,9.161,13375.4148,34684650.0
2016-05-26,9.041,13199.9144,37198000.0
2016-05-27,8.908,13006.601,50653200.0
