,STT US Equity,STT US Equity,STT US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2018-10-22,70.81,26871.652,5037217.0
2018-10-23,69.72,26458.0084,4794588.0
2018-10-24,67.29,25535.8489,3106103.0
2018-10-25,68.05,25824.261,4590775.0
2018-10-26,66.39,25194.3084,5182225.0
2018-10-29,66.41,25201.8982,4033441.0
2018-10-30,67.74,25706.6192,4097006.0
2018-10-31,68.75,26093.0786,6235588.0
2018-11-01,69.96,26552.3168,4231985.0
2018-11-02,69.98,26559.9075,4359551.0
2018-11-05,71.91,27292.4114,2668491.0
2018-11-06,72.02,27334.1603,2151830.0
2018-11-07,73.98,28078.0503,3289836.0
2018-11-08,73.34,27835.1474,2280844.0
2018-11-09,72.25,27421.4535,1928588.0
2018-11-12,70.86,26893.8989,1611810.0
2018-11-13,71.02,26954.6246,1371283.0
2018-11-14,70.34,26696.5404,1630207.0
2018-11-15,71.86,27273.4346,1657164.0
2018-11-16,71.65,27193.7321,1983187.0
2018-11-19,71.77,27239.2764,1884983.0
2018-11-20,71.19,27019.1457,3287489.0
2018-11-21,72.09,27360.7278,2561072.0
2018-11-23,71.89,27284.8207,1071987.0
2018-11-26,73.92,28055.2781,1940319.0
2018-11-27,72.7,27592.2446,2424028.0
2018-11-28,74.38,28229.8645,1897756.0
2018-11-29,72.37,27466.9978,2950042.0
2018-11-30,73.02,27713.696,3238053.0
2018-12-03,73.15,27763.0357,2312300.0
2018-12-04,67.81,25736.3151,3981951.0
2018-12-06,65.9,25011.4019,5425064.0
2018-12-07,65.04,24685.0012,4190104.0
2018-12-10,64.03,24301.6702,2277289.0
2018-12-11,63.09,23944.9066,2791208.0
2018-12-12,63.43,24073.9488,3815983.0
2018-12-13,63.19,23982.8602,3359760.0
2018-12-14,63.53,24111.9023,3964282.0
2018-12-17,63.89,24248.5352,3375872.0
2018-12-18,61.69,23413.5567,5225146.0
2018-12-19,59.88,22726.5971,6816935.0
2018-12-20,60.4,22923.9556,4067708.0
2018-12-21,60.17,22836.6624,5719475.0
2018-12-24,59.78,22688.6435,1832242.0
2018-12-26,62.85,23853.8181,3318779.0
2018-12-27,63.22,23994.2463,2470145.0
2018-12-28,63.48,24092.9255,2635586.0
2018-12-31,63.07,23937.3159,2534289.0
2019-01-02,63.93,24263.7166,2420466.0
2019-01-03,61.85,23474.2824,3935413.0
