,ON US Equity,ON US Equity,ON US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-08-12,8.615,3800.3116,4339340.0
2014-08-13,8.63,3806.9285,3414518.0
2014-08-14,8.7,3837.8074,4017071.0
2014-08-15,8.81,3886.3314,4002518.0
2014-08-18,8.92,3934.8554,4333103.0
2014-08-19,9.05,3992.202,7660557.0
2014-08-20,9.2,4058.3711,6049627.0
2014-08-21,9.44,4164.2416,8360612.0
2014-08-22,9.47,4177.4754,5211755.0
2014-08-25,9.44,4164.2416,3637448.0
2014-08-26,9.525,4201.7374,6424423.0
2014-08-27,9.53,4203.9431,5210032.0
2014-08-28,9.66,4261.2896,4237579.0
2014-08-29,9.76,4305.4023,5929217.0
2014-09-02,9.79,4318.6362,5587926.0
2014-09-03,9.78,4314.2249,5392103.0
2014-09-04,9.88,4358.3376,6288968.0
2014-09-05,9.88,4358.3376,7199322.0
2014-09-08,9.91,4371.5714,6761587.0
2014-09-09,9.82,4331.87,8313329.0
2014-09-10,9.69,4274.5234,14484753.0
2014-09-11,9.71,4283.346,6527069.0
2014-09-12,9.64,4252.4671,5860496.0
2014-09-15,9.465,4175.2698,7777492.0
2014-09-16,9.66,4261.2896,8118576.0
2014-09-17,9.75,4300.9911,7915778.0
2014-09-18,9.84,4340.6925,3856182.0
2014-09-19,9.78,4314.2249,7950973.0
2014-09-22,9.6,4234.822,7717190.0
2014-09-23,9.47,4177.4754,7546707.0
2014-09-24,9.55,4212.7656,5925317.0
2014-09-25,9.33,4115.7176,6064772.0
2014-09-26,9.32,4111.3063,3252033.0
2014-09-29,9.26,4084.8387,5151030.0
2014-09-30,8.94,3943.678,10632299.0
2014-10-01,8.77,3868.6863,6451057.0
2014-10-02,8.8,3881.9201,6666338.0
2014-10-03,8.95,3948.0892,7060859.0
2014-10-06,8.8,3881.9201,4957029.0
2014-10-07,8.5,3749.582,7330125.0
2014-10-08,8.68,3828.9849,5921531.0
2014-10-09,8.37,3692.2354,6765649.0
2014-10-10,7.48,3299.6321,16741976.0
2014-10-13,6.94,3061.4234,17335394.0
2014-10-14,6.97,3074.6572,16285303.0
2014-10-15,6.99,3083.4797,10661219.0
2014-10-16,7.19,3171.7052,13810931.0
2014-10-17,7.44,3281.987,11932145.0
2014-10-20,7.48,3299.6321,5202308.0
2014-10-21,7.79,3436.3816,7889787.0
2014-10-22,7.72,3405.5027,8618354.0
2014-10-23,7.81,3445.2041,5095242.0
2014-10-24,7.95,3506.9619,7274705.0
2014-10-27,7.95,3506.9619,4082767.0
2014-10-28,8.16,3599.5987,4086431.0
2014-10-29,8.15,3595.1874,4799303.0
2014-10-30,8.01,3533.4296,14833600.0
2014-10-31,8.29,3613.4225,14030252.0
2014-11-03,8.17,3561.1172,8005305.0
2014-11-04,8.09,3526.247,7203038.0
2014-11-05,8.21,3578.5523,6669672.0
2014-11-06,8.28,3609.0637,4552949.0
2014-11-07,8.25,3595.9874,6706589.0
2014-11-10,8.25,3595.9874,2531134.0
2014-11-11,8.275,3606.8843,6306032.0
2014-11-12,8.29,3613.4225,3111194.0
2014-11-13,8.19,3569.8347,2583113.0
2014-11-14,8.285,3611.2431,1969451.0
2014-11-17,8.39,3657.0102,7551346.0
2014-11-18,8.52,3713.6742,4376709.0
2014-11-19,8.46,3687.5216,5218996.0
2014-11-20,8.46,3687.5216,3506643.0
2014-11-21,8.615,3755.0826,4162196.0
2014-11-24,8.82,3844.4374,4111345.0
2014-11-25,8.83,3848.7962,3493648.0
2014-11-26,9.08,3957.7655,3632165.0
2014-11-28,9.03,3935.9716,1309659.0
2014-12-01,9.54,4158.269,11436725.0
2014-12-02,9.45,4119.0401,6902706.0
2014-12-03,9.8,4271.5971,11979510.0
2014-12-04,9.84,4289.0322,10396435.0
2014-12-05,10.22,4454.6656,21150487.0
2014-12-08,10.01,4363.1314,8609585.0
2014-12-09,10.01,4363.1314,7513902.0
2014-12-10,9.73,4241.0857,6846919.0
2014-12-11,9.77,4258.5208,4156939.0
2014-12-12,9.65,4206.2155,4589788.0
2014-12-15,9.64,4201.8568,4159551.0
2014-12-16,9.565,4169.166,4291229.0
2014-12-17,9.66,4210.5743,7557024.0
2014-12-18,10.04,4376.2077,7276840.0
2014-12-19,10.08,4393.6428,4400968.0
2014-12-22,10.21,4450.3068,3780373.0
2014-12-23,10.17,4432.8717,2993005.0
2014-12-24,10.22,4454.6656,1075334.0
2014-12-26,10.21,4450.3068,1313604.0
2014-12-29,10.2,4445.948,1435464.0
2014-12-30,10.1,4402.3603,2322143.0
2014-12-31,10.13,4415.4366,2741626.0
2015-01-02,10.2,4445.948,3009371.0
2015-01-05,9.93,4328.2612,3619334.0
2015-01-06,9.96,4341.3375,9144995.0
2015-01-07,10.12,4411.0779,5211477.0
2015-01-08,10.37,4520.0472,8890375.0
2015-01-09,10.355,4513.509,4546811.0
2015-01-12,10.39,4528.7647,6298721.0
2015-01-13,10.08,4393.6428,6386942.0
2015-01-14,9.97,4345.6963,5549045.0
2015-01-15,9.68,4219.2919,5663983.0
2015-01-16,9.84,4289.0322,5302862.0
2015-01-20,9.96,4341.3375,3705211.0
2015-01-21,9.93,4328.2612,6859378.0
2015-01-22,10.13,4415.4366,6154900.0
2015-01-23,10.07,4389.284,5595904.0
2015-01-26,10.16,4428.5129,6034115.0
2015-01-27,10.03,4371.8489,6339060.0
2015-01-28,10.1,4402.3603,5145717.0
2015-01-29,10.03,4371.8489,7446662.0
2015-01-30,10.01,4363.1314,4787636.0
2015-02-02,9.94,4332.6199,6144451.0
2015-02-03,10.25,4467.7419,4729073.0
2015-02-04,10.39,4528.7647,4962826.0
2015-02-05,10.27,4476.4594,8785490.0
2015-02-06,11.39,4964.642,23468762.0
2015-02-09,11.54,5030.0236,10411026.0
2015-02-10,11.6,5056.1762,9908870.0
2015-02-11,11.55,5034.3823,7940477.0
2015-02-12,11.61,5060.535,7637248.0
2015-02-13,11.945,5206.5539,5980041.0
2015-02-17,11.99,5226.1683,5725505.0
2015-02-18,12.16,5300.2675,6528078.0
2015-02-19,11.91,5191.2981,7429216.0
2015-02-20,12.02,5239.2446,9427793.0
2015-02-23,12.02,5239.2446,10867035.0
2015-02-24,12.24,5335.1376,6444649.0
2015-02-25,12.02,5239.2446,10657611.0
2015-02-26,12.86,5605.3815,18745437.0
2015-02-27,12.75,5499.2678,7390267.0
2015-03-02,13.16,5676.107,12817419.0
2015-03-03,12.87,5551.0257,7074838.0
2015-03-04,13.02,5615.7229,7430994.0
2015-03-05,13.04,5624.3492,6049174.0
2015-03-06,12.9,5563.9651,7560613.0
2015-03-09,12.9,5563.9651,4789745.0
2015-03-10,12.74,5494.9547,4797309.0
2015-03-11,12.675,5466.9192,7069521.0
2015-03-12,12.66,5460.4495,6143193.0
2015-03-13,12.55,5413.0048,6032474.0
2015-03-16,12.84,5538.0862,5771209.0
2015-03-17,12.66,5460.4495,4504649.0
2015-03-18,12.76,5503.581,3989825.0
2015-03-19,12.73,5490.6415,2683646.0
2015-03-20,12.93,5576.9046,5490675.0
2015-03-23,12.7,5477.7021,3117670.0
2015-03-24,12.375,5337.5247,8404993.0
2015-03-25,11.905,5134.8066,12645617.0
2015-03-26,11.63,5016.1949,9095774.0
2015-03-27,11.8,5089.5185,7660336.0
2015-03-30,12.13,5231.8525,11237660.0
2015-03-31,12.11,5223.2262,10621277.0
2015-04-01,11.485,4953.6542,21684763.0
2015-04-02,11.7,5046.387,6482398.0
2015-04-06,11.54,4977.3765,3067076.0
2015-04-07,11.54,4977.3765,3774007.0
2015-04-08,11.52,4968.7502,2957687.0
2015-04-09,11.57,4990.316,2148169.0
2015-04-10,11.58,4984.8804,1858476.0
2015-04-13,11.64,5010.7088,2112935.0
2015-04-14,11.46,4933.2236,2664856.0
2015-04-15,11.94,5139.8508,4960423.0
2015-04-16,12.37,5324.9543,7829686.0
2015-04-17,11.84,5096.8035,4353593.0
2015-04-20,11.81,5083.8893,3512973.0
2015-04-21,12.17,5238.8597,5633081.0
2015-04-22,12.36,5320.6496,6454017.0
2015-04-23,12.245,5271.1451,6275767.0
2015-04-24,11.62,5002.0994,8253119.0
2015-04-27,11.59,4989.1852,3074881.0
2015-04-28,11.56,4976.271,3349189.0
2015-04-29,11.67,5023.623,2075564.0
2015-04-30,11.52,4959.052,2390020.0
2015-05-01,11.81,5083.8893,5236902.0
2015-05-04,12.5,5365.0993,13465814.0
2015-05-05,12.06,5176.2478,5235800.0
2015-05-06,12.1,5193.4162,2628116.0
2015-05-07,12.09,5189.1241,3860612.0
2015-05-08,12.3,5279.2577,2971042.0
2015-05-11,12.43,5335.0548,2572229.0
2015-05-12,12.41,5326.4706,2955261.0
2015-05-13,12.37,5309.3023,4061726.0
2015-05-14,12.44,5339.3469,3256928.0
2015-05-15,12.61,5412.3122,3894948.0
2015-05-18,12.81,5498.1538,2715977.0
2015-05-19,12.77,5480.9855,3742298.0
2015-05-20,12.61,5412.3122,3488529.0
2015-05-21,12.57,5395.1439,2119109.0
2015-05-22,12.66,5433.7726,2067798.0
2015-05-26,12.465,5350.0771,2497827.0
2015-05-27,13.01,5583.9954,4858687.0
2015-05-28,12.99,5575.4112,3756333.0
2015-05-29,13.26,5691.2974,5035199.0
2015-06-01,13.09,5618.332,3963456.0
2015-06-02,12.98,5571.1191,11354429.0
2015-06-03,13.26,5691.2974,32642094.0
2015-06-04,12.88,5528.1984,7787998.0
2015-06-05,12.93,5549.6588,3744467.0
2015-06-08,12.48,5356.5152,6491327.0
2015-06-09,12.47,5352.2231,8315834.0
2015-06-10,12.64,5425.1884,6783864.0
2015-06-11,12.78,5485.2776,5922198.0
2015-06-12,12.39,5317.8865,6225604.0
2015-06-15,12.41,5326.4706,5073161.0
2015-06-16,12.51,5369.3914,4264427.0
2015-06-17,12.37,5309.3023,6328328.0
2015-06-18,12.59,5403.728,4928942.0
2015-06-19,12.51,5369.3914,5488240.0
2015-06-22,12.55,5386.5597,3106425.0
2015-06-23,12.58,5399.436,5162200.0
2015-06-24,12.52,5373.6835,5505136.0
2015-06-25,12.51,5369.3914,2948799.0
2015-06-26,12.0,5150.4954,10679474.0
2015-06-29,11.72,5030.3171,5731297.0
2015-06-30,11.69,5017.4409,4275156.0
2015-07-01,11.57,4965.9359,4952593.0
2015-07-02,11.46,4918.7231,4866908.0
2015-07-06,11.26,4832.8815,4234508.0
2015-07-07,11.35,4871.5102,5840161.0
2015-07-08,11.06,4747.0399,8060962.0
2015-07-09,10.9,4678.3666,8991994.0
2015-07-10,11.34,4867.2181,7221806.0
2015-07-13,11.17,4794.2528,6219202.0
2015-07-14,11.22,4815.7132,5520992.0
2015-07-15,11.08,4755.6241,6557514.0
2015-07-16,10.86,4661.1983,12304646.0
2015-07-17,10.87,4665.4904,5906061.0
2015-07-20,10.74,4609.6933,4262802.0
2015-07-21,10.84,4652.6141,5064123.0
2015-07-22,10.3,4420.8419,11986679.0
2015-07-23,10.53,4519.5597,6931284.0
2015-07-24,10.31,4425.1339,5472164.0
2015-07-27,10.14,4352.1686,5424273.0
2015-07-28,10.54,4523.8518,8670795.0
2015-07-29,10.73,4605.4013,6065923.0
2015-07-30,10.72,4601.1092,3858996.0
2015-07-31,10.62,4558.1884,4559934.0
2015-08-03,10.34,4269.0275,11218551.0
2015-08-04,10.21,4215.355,14133569.0
2015-08-05,10.31,4256.6415,6224088.0
2015-08-06,10.16,4194.7117,4855914.0
2015-08-07,10.25,4231.8696,4393093.0
2015-08-10,10.43,4306.1853,3898143.0
2015-08-11,10.01,4132.7819,5813176.0
2015-08-12,10.1,4169.9398,4797676.0
2015-08-13,9.87,4074.9808,2561145.0
2015-08-14,9.91,4091.4954,2984006.0
2015-08-17,10.1,4169.9398,2566862.0
2015-08-18,9.85,4066.7235,3845285.0
2015-08-19,9.67,3992.4077,2892680.0
2015-08-20,9.27,3827.2616,3513161.0
2015-08-21,9.18,3790.1037,7429395.0
2015-08-24,8.95,3695.1447,6453505.0
2015-08-25,8.89,3670.3727,6560560.0
2015-08-26,9.44,3897.4487,5850163.0
2015-08-27,9.79,4041.9515,8061788.0
2015-08-28,9.88,4079.1094,3736456.0
2015-08-31,9.555,3944.9282,6670459.0
2015-09-01,9.22,3806.6183,4056911.0
2015-09-02,9.37,3868.5481,4422533.0
2015-09-03,9.86,4070.8521,6597927.0
2015-09-04,9.66,3988.279,3179180.0
2015-09-08,10.47,4322.7,8559181.0
2015-09-09,10.23,4223.6123,5130137.0
2015-09-10,10.14,4186.4544,6157664.0
2015-09-11,10.22,4219.4836,5874650.0
2015-09-14,10.08,4161.6825,2030957.0
2015-09-15,10.23,4223.6123,2368087.0
2015-09-16,10.25,4231.8696,2580198.0
2015-09-17,10.17,4198.8404,2779674.0
2015-09-18,9.92,4095.624,4949056.0
2015-09-21,9.78,4037.8229,3334849.0
2015-09-22,9.5,3922.2206,4296499.0
2015-09-23,9.38,3872.6768,2136821.0
2015-09-24,9.26,3823.1329,5603001.0
2015-09-25,9.33,3852.0335,3706966.0
2015-09-28,8.97,3703.402,4132115.0
2015-09-29,9.08,3748.8172,3365071.0
2015-09-30,9.4,3880.9341,4902511.0
2015-10-01,9.29,3835.5189,3314163.0
2015-10-02,9.53,3934.6066,3536556.0
2015-10-05,9.83,4058.4662,3926258.0
2015-10-06,9.89,4083.2381,5932507.0
2015-10-07,10.28,4244.2556,8798214.0
2015-10-08,10.3,4252.5129,4053244.0
2015-10-09,10.0,4128.6533,4309613.0
2015-10-12,9.89,4083.2381,5742144.0
2015-10-13,10.03,4141.0392,6378236.0
2015-10-14,10.74,4434.1736,12539665.0
2015-10-15,10.6,4376.3725,8203176.0
2015-10-16,10.49,4330.9573,3871768.0
2015-10-19,10.39,4289.6707,3517514.0
2015-10-20,10.56,4359.8578,3509213.0
2015-10-21,10.3,4252.5129,4243386.0
2015-10-22,10.875,4489.9104,4909398.0
2015-10-23,11.48,4739.6939,8640234.0
2015-10-26,10.99,4537.3899,3969812.0
2015-10-27,10.81,4463.0742,3693182.0
2015-10-28,11.03,4553.9045,5186078.0
2015-10-29,10.28,4244.2556,11795447.0
2015-10-30,11.0,4539.7226,11878225.0
2015-11-02,11.18,4614.009,4221870.0
2015-11-03,11.21,4626.3901,3980612.0
2015-11-04,11.54,4762.5817,4742088.0
2015-11-05,11.28,4655.2792,5043753.0
2015-11-06,11.6,4787.3439,3044012.0
2015-11-09,11.505,4748.1372,2913655.0
2015-11-10,11.22,4630.5171,3293483.0
2015-11-11,11.225,4632.5806,4106374.0
2015-11-12,10.85,4477.8173,4437392.0
2015-11-13,10.72,4424.166,6061874.0
2015-11-16,10.67,4403.5309,6126005.0
2015-11-17,10.74,4432.4201,3589381.0
2015-11-18,9.89,4081.6233,29358170.0
2015-11-19,10.1,4168.2908,8826014.0
2015-11-20,10.16,4193.0529,6102679.0
2015-11-23,10.15,4188.9259,6186935.0
2015-11-24,10.35,4271.4663,9718961.0
2015-11-25,10.46,4316.8635,8874082.0
2015-11-27,10.73,4428.2931,2375960.0
2015-11-30,10.96,4523.2145,9517352.0
2015-12-01,11.27,4651.1522,10069915.0
2015-12-02,11.33,4675.9143,9036045.0
2015-12-03,11.08,4572.7388,5813982.0
2015-12-04,11.37,4692.4224,4536485.0
2015-12-07,11.24,4638.7711,6934200.0
2015-12-08,10.46,4316.8635,12625996.0
2015-12-09,10.125,4178.6083,6247349.0
2015-12-10,10.15,4188.9259,6459770.0
2015-12-11,9.9,4085.7504,4837852.0
2015-12-14,10.11,4172.4178,9334881.0
2015-12-15,10.27,4238.4501,5017032.0
2015-12-16,10.32,4259.0852,2550030.0
2015-12-17,9.96,4110.5125,4101175.0
2015-12-18,10.01,4131.1476,5777505.0
2015-12-21,10.09,4164.1638,2127357.0
2015-12-22,10.07,4155.9097,3477613.0
2015-12-23,10.09,4164.1638,3158801.0
2015-12-24,10.14,4184.7989,1606870.0
2015-12-28,10.0,4127.0206,2243959.0
2015-12-29,10.11,4172.4178,3146476.0
2015-12-30,9.95,4106.3855,3025628.0
2015-12-31,9.8,4044.4802,2390854.0
2016-01-04,9.7,4003.21,4023234.0
2016-01-05,9.68,3994.9559,5727444.0
2016-01-06,9.19,3792.7319,7066771.0
2016-01-07,8.64,3565.7458,9524767.0
2016-01-08,8.53,3520.3485,5103712.0
2016-01-11,8.57,3536.8566,5474642.0
2016-01-12,8.55,3528.6026,3918247.0
2016-01-13,8.3,3425.4271,6126909.0
2016-01-14,8.5,3507.9675,6459227.0
2016-01-15,8.22,3392.4109,6615188.0
2016-01-19,8.07,3330.5056,4572165.0
2016-01-20,8.27,3413.046,6061988.0
2016-01-21,8.39,3462.5703,7807908.0
2016-01-22,8.34,3441.9352,5319269.0
2016-01-25,8.25,3404.792,4347257.0
2016-01-26,8.4,3466.6973,3830876.0
2016-01-27,8.25,3404.792,2613074.0
2016-01-28,8.11,3347.0137,3535218.0
2016-01-29,8.56,3532.7296,6360978.0
2016-02-01,8.67,3578.1268,3191927.0
2016-02-02,8.175,3373.8393,3713218.0
2016-02-03,8.27,3413.046,3147663.0
2016-02-04,8.49,3503.8405,3347856.0
2016-02-05,8.05,3322.2516,7708948.0
2016-02-08,7.4,3053.9952,8967634.0
2016-02-09,7.08,2921.9306,11642350.0
2016-02-10,7.15,2950.8197,7484872.0
2016-02-11,7.05,2909.5495,6075672.0
2016-02-12,7.07,2917.8035,5676280.0
2016-02-16,7.51,3099.3924,8388261.0
2016-02-17,7.9,3260.3462,6120725.0
2016-02-18,7.61,3140.6627,9800490.0
2016-02-19,7.68,3169.5518,6217786.0
2016-02-22,7.97,3289.2354,4681723.0
2016-02-23,8.02,3309.8705,5810609.0
2016-02-24,8.3,3420.39,5749489.0
2016-02-25,8.29,3416.2691,3378009.0
2016-02-26,8.39,3457.4786,2339714.0
2016-02-29,8.39,3457.4786,2740950.0
2016-03-01,8.65,3564.6233,4147714.0
2016-03-02,8.82,3634.6795,3991940.0
2016-03-03,8.94,3684.1309,4801707.0
2016-03-04,8.87,3655.2843,4321169.0
2016-03-07,9.01,3712.9776,3595890.0
2016-03-08,8.7,3585.2281,4943658.0
2016-03-09,8.86,3651.1633,3928406.0
2016-03-10,8.88,3659.4052,4569517.0
2016-03-11,9.26,3816.0014,3342554.0
2016-03-14,9.1,3750.0662,3184056.0
2016-03-15,9.08,3741.8243,2030818.0
2016-03-16,9.19,3787.1547,2464485.0
2016-03-17,9.26,3816.0014,1694848.0
2016-03-18,9.48,3906.6623,5841797.0
2016-03-21,9.44,3890.1785,1731505.0
2016-03-22,9.53,3927.2671,2969765.0
2016-03-23,9.38,3865.4528,3829892.0
2016-03-24,9.39,3869.5738,1615551.0
2016-03-28,9.41,3877.8157,2087389.0
2016-03-29,9.88,4071.5004,5904529.0
2016-03-30,9.71,4001.4442,3785775.0
2016-03-31,9.59,3951.9928,4099551.0
2016-04-01,9.7,3997.3233,4044762.0
2016-04-04,9.58,3947.8719,2306229.0
2016-04-05,9.59,3951.9928,2798908.0
2016-04-06,9.75,4017.928,2911365.0
2016-04-07,9.52,3923.1462,2429243.0
2016-04-08,9.51,3919.0252,1935146.0
2016-04-11,9.46,3898.4204,2260074.0
2016-04-12,9.43,3886.0576,1993390.0
2016-04-13,9.72,4026.3762,1984952.0
2016-04-14,9.75,4038.8033,2501119.0
2016-04-15,9.66,4001.522,2311470.0
2016-04-18,9.65,3997.3797,2618708.0
2016-04-19,9.58,3968.3831,2752530.0
2016-04-20,9.86,4084.3693,3108050.0
2016-04-21,9.81,4063.6575,3901328.0
2016-04-22,9.83,4071.9422,2799464.0
2016-04-25,9.59,3972.5255,2457530.0
2016-04-26,9.99,4138.22,10858535.0
2016-04-27,10.0,4142.3624,4269963.0
2016-04-28,9.75,4038.8033,3491472.0
2016-04-29,9.47,3922.8172,3554871.0
2016-05-02,9.68,4009.8068,5917123.0
2016-05-03,9.49,3931.1019,2958743.0
2016-05-04,9.27,3839.9699,2975191.0
2016-05-05,9.29,3848.2546,2777134.0
2016-05-06,9.41,3897.963,3664574.0
2016-05-09,9.11,3778.7403,7277080.0
2016-05-10,9.38,3890.7337,4005183.0
2016-05-11,9.39,3894.8816,3541776.0
2016-05-12,8.97,3720.6697,4928027.0
2016-05-13,8.95,3712.3739,3484854.0
2016-05-16,9.0,3733.1134,3886789.0
2016-05-17,8.95,3712.3739,2855452.0
2016-05-18,9.21,3820.2194,4638966.0
2016-05-19,9.03,3745.5571,2610341.0
2016-05-20,9.19,3811.9235,3301984.0
2016-05-23,9.18,3807.7756,2552117.0
2016-05-24,9.38,3890.7337,5087629.0
2016-05-25,9.51,3944.6565,2647065.0
2016-05-26,9.51,3944.6565,2386766.0
2016-05-27,9.66,4006.875,2498563.0
