,VRTX US Equity,VRTX US Equity,VRTX US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2017-11-21,145.11,36698.7323,1501124.0
2017-11-22,147.04,37186.8348,906988.0
2017-11-24,146.55,37062.9124,660987.0
2017-11-27,148.55,37568.7181,1197667.0
2017-11-28,147.32,37257.6476,1116960.0
2017-11-29,143.75,36354.7844,1313862.0
2017-11-30,144.29,36491.3519,1739281.0
2017-12-01,140.79,35606.192,2448450.0
2017-12-04,138.79,35100.3863,2127679.0
2017-12-05,138.36,34991.638,1374011.0
2017-12-06,137.28,34718.503,1582655.0
2017-12-07,138.78,35097.8572,1687469.0
2017-12-08,143.61,36319.378,1725542.0
2017-12-11,141.68,35831.2755,1475182.0
2017-12-12,140.91,35636.5403,1010253.0
2017-12-13,144.8,36620.3324,2024156.0
2017-12-14,142.53,36046.2429,1411325.0
2017-12-15,145.86,36888.4094,3246092.0
2017-12-18,145.44,36782.1902,1231896.0
2017-12-19,145.15,36708.8484,1051252.0
2017-12-20,145.12,36701.2613,813580.0
2017-12-21,148.82,37637.0018,2290056.0
2017-12-22,149.97,37927.8401,1459966.0
2017-12-26,150.6,38087.1689,777860.0
2017-12-27,151.55,38327.4266,939096.0
2017-12-28,151.17,38231.3235,957374.0
2017-12-29,149.86,37900.0208,881899.0
2018-01-02,152.91,38671.3745,1382034.0
2018-01-03,152.01,38443.7619,1603979.0
2018-01-04,153.07,38711.8389,1345114.0
2018-01-05,155.69,39374.4444,1939967.0
2018-01-08,156.89,39677.9278,1986951.0
2018-01-09,156.01,39455.3733,1487743.0
2018-01-10,157.38,39801.8502,1700963.0
2018-01-11,158.4,40059.8111,950608.0
2018-01-12,157.93,39940.9468,1561110.0
2018-01-16,155.71,39379.5025,1834799.0
2018-01-17,156.99,39703.2181,1270888.0
2018-01-18,157.19,39753.7987,1250870.0
2018-01-19,157.97,39951.0629,2085311.0
2018-01-22,161.91,40947.5001,1689049.0
2018-01-23,166.58,42128.5564,3058687.0
2018-01-24,167.45,42348.5819,2492679.0
2018-01-25,166.24,42042.5695,1270617.0
2018-01-26,169.21,42793.6909,1495100.0
2018-01-29,167.14,42270.182,1828670.0
2018-01-30,166.54,42118.4403,2184621.0
2018-01-31,166.87,42260.3281,2323805.0
2018-02-01,172.99,43810.2365,5090031.0
2018-02-02,166.24,42100.7787,3455085.0
2018-02-05,155.14,39289.6704,2906900.0
2018-02-06,159.27,40335.6053,3114575.0
2018-02-07,155.67,39423.8945,1812917.0
2018-02-08,151.6,38393.1548,2854017.0
