,JPM US Equity,JPM US Equity,JPM US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2018-04-04,110.99,378521.5051,15302608.0
2018-04-05,111.88,381557.8262,16627035.0
2018-04-06,109.09,372042.7535,18906018.0
2018-04-09,110.4,376510.4041,15974349.0
2018-04-10,112.51,383706.391,14003640.0
2018-04-11,110.62,377260.6966,14503294.0
2018-04-12,113.37,386639.3525,16435523.0
2018-04-13,110.3,376169.3621,39152760.0
2018-04-16,110.21,375862.4242,16580538.0
2018-04-17,110.21,375862.4242,15501350.0
2018-04-18,109.32,372827.1501,16081436.0
2018-04-19,111.72,381012.1589,17910955.0
2018-04-20,111.47,380159.5539,15584384.0
2018-04-23,110.93,378317.9269,11285831.0
2018-04-24,110.41,376544.5083,16453112.0
2018-04-25,109.99,375112.1318,13548246.0
2018-04-26,110.1,375487.278,10299488.0
2018-04-27,109.4,373099.9838,9383967.0
2018-04-30,108.78,370985.5232,13744860.0
2018-05-01,108.78,370985.5232,10503353.0
2018-05-02,107.92,367443.5254,12162086.0
2018-05-03,107.24,365128.2771,15379091.0
2018-05-04,108.43,369179.9617,11967906.0
2018-05-07,109.37,372380.452,9356721.0
2018-05-08,110.99,377896.1906,12543228.0
2018-05-09,113.41,386135.7507,11368094.0
2018-05-10,114.29,389131.9544,9159709.0
2018-05-11,113.86,387667.9003,10253045.0
2018-05-14,113.9,387804.0914,8710654.0
2018-05-15,113.03,384841.9355,11536212.0
2018-05-16,113.34,385897.4163,7571089.0
2018-05-17,112.96,384603.6011,8617204.0
2018-05-18,111.13,378372.8593,11806349.0
2018-05-21,112.15,381845.7318,9441931.0
2018-05-22,113.01,384773.84,11507550.0
2018-05-23,112.49,383003.356,11453916.0
2018-05-24,111.23,378713.337,14084769.0
2018-05-25,110.66,376772.6142,8283548.0
2018-05-29,105.93,360668.0193,30643840.0
2018-05-30,108.35,368907.5795,17490845.0
2018-05-31,107.01,364345.1784,19808203.0
2018-06-01,108.4,369077.8183,13594185.0
2018-06-04,108.45,369248.0572,9415437.0
2018-06-05,107.84,367171.1433,10415231.0
2018-06-06,110.36,375751.1811,15453563.0
2018-06-07,110.8,377249.283,13444427.0
2018-06-08,111.11,378304.7638,10383168.0
2018-06-11,110.83,377351.4263,12642897.0
2018-06-12,110.19,375172.369,15294082.0
2018-06-13,109.97,374423.3181,14979749.0
2018-06-14,108.03,367818.0509,20487343.0
2018-06-15,107.9,367375.4299,26028572.0
2018-06-18,108.18,368328.7674,9786825.0
2018-06-19,107.55,366183.758,12707154.0
2018-06-20,107.54,366149.7102,8876903.0
2018-06-21,107.51,366047.5669,11048735.0
2018-06-22,105.75,360055.1595,19938788.0
2018-06-25,104.79,356786.5737,16907607.0
2018-06-26,104.86,357024.908,17086772.0
2018-06-27,103.24,351509.1694,16276833.0
2018-06-28,104.93,357263.2424,14491252.0
2018-06-29,104.2,354777.7553,18972393.0
2018-07-02,105.08,357773.959,11130044.0
2018-07-03,103.61,352768.9369,8311680.0
2018-07-05,103.72,353143.4623,10723412.0
2018-07-06,104.06,354301.0865,12173700.0
2018-07-09,107.28,365264.4682,13900793.0
2018-07-10,106.62,363017.3154,14575873.0
2018-07-11,106.39,362234.2167,10186482.0
2018-07-12,106.85,363800.4141,12456754.0
2018-07-13,106.36,362132.0734,21303844.0
2018-07-16,110.58,376500.232,24662621.0
2018-07-17,110.5,376227.8499,14821876.0
2018-07-18,111.53,379734.7701,14244944.0
2018-07-19,109.89,374150.936,16775305.0
2018-07-20,111.28,378883.5759,13582631.0
2018-07-23,113.35,385931.4641,18140010.0
2018-07-24,114.15,388655.2856,14000419.0
2018-07-25,115.18,392162.2059,13331966.0
2018-07-26,114.85,391038.6295,11897769.0
2018-07-27,116.03,395056.2663,12805930.0
2018-07-30,116.73,397439.6101,13411618.0
2018-07-31,114.95,391379.1072,15843763.0
2018-08-01,115.66,388719.8558,13531590.0
2018-08-02,116.15,390366.689,11058108.0
2018-08-03,117.09,393525.9201,11016102.0
2018-08-06,117.12,393626.7466,9857351.0
2018-08-07,117.55,395071.9268,10562067.0
2018-08-08,117.79,395878.539,8997220.0
2018-08-09,116.88,392820.1344,9694541.0
2018-08-10,115.73,388955.1177,12630949.0
2018-08-13,113.89,382771.0909,10340337.0
2018-08-14,114.65,385325.3629,10597611.0
2018-08-15,113.7,382132.523,10152082.0
2018-08-16,114.77,385728.669,10118820.0
2018-08-17,114.77,385728.669,8505111.0
2018-08-20,114.62,385224.5363,8618739.0
2018-08-21,115.32,387577.1552,10976680.0
2018-08-22,114.97,386400.8458,8314901.0
