,SMCI US Equity,SMCI US Equity,SMCI US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2019-05-16,20.02,974.8337,250938.0
2019-05-17,19.85,990.156,99075.0
2019-05-20,19.945,994.8948,55277.0
2019-05-21,20.07,1001.13,336991.0
2019-05-22,20.16,1005.6194,446165.0
2019-05-23,19.85,990.156,446566.0
2019-05-24,19.91,993.1489,164437.0
2019-05-28,19.68,981.6761,168946.0
2019-05-29,19.22,958.7304,63339.0
2019-05-30,19.33,964.2174,45178.0
2019-05-31,19.0,947.7564,121660.0
2019-06-03,19.3,962.7209,143742.0
2019-06-04,19.0,947.7564,118697.0
2019-06-05,18.85,940.2741,39938.0
2019-06-06,18.3,912.839,110592.0
2019-06-07,18.35,915.3331,46666.0
2019-06-10,18.46,920.8201,41692.0
2019-06-11,18.37,916.3308,72890.0
2019-06-12,18.18,906.8532,49919.0
2019-06-13,17.39,867.4465,204407.0
2019-06-14,17.54,874.9288,217282.0
2019-06-17,18.0,897.8745,101378.0
2019-06-18,18.4,917.8272,16052.0
2019-06-19,18.7,932.7918,82376.0
2019-06-20,19.03,949.2528,25851.0
2019-06-21,19.06,950.7493,92528.0
2019-06-24,19.4,967.7091,131291.0
2019-06-25,19.05,950.2505,122204.0
2019-06-26,19.19,957.2339,110419.0
2019-06-27,19.19,957.2339,54162.0
2019-06-28,19.35,965.215,14399.0
2019-07-01,19.28,961.7233,146075.0
2019-07-02,19.05,950.2505,29139.0
2019-07-03,18.92,943.7658,20403.0
2019-07-05,18.61,928.3024,32666.0
2019-07-08,18.61,928.3024,5139.0
2019-07-09,18.65,930.2977,80569.0
2019-07-10,19.2,957.7327,42506.0
2019-07-11,18.85,940.2741,41431.0
2019-07-12,18.58,926.806,40820.0
2019-07-15,18.7,932.7918,6094.0
2019-07-16,19.2,957.7327,15020.0
2019-07-17,18.76,935.7847,45440.0
2019-07-18,18.6,927.8036,49671.0
2019-07-19,19.0,947.7564,36143.0
2019-07-22,19.5,972.6973,153673.0
2019-07-23,19.11,953.2434,53129.0
2019-07-24,19.26,960.7257,19134.0
2019-07-25,18.9,942.7682,13788.0
2019-07-26,18.66,930.7965,17619.0
2019-07-29,18.72,933.7894,13046.0
2019-07-30,18.52,923.813,21865.0
2019-07-31,18.31,913.3378,32054.0
2019-08-01,18.14,904.8579,39412.0
2019-08-02,17.0,847.9925,249002.0
2019-08-05,16.31,813.574,488137.0
2019-08-06,17.6,877.9217,197687.0
2019-08-07,17.85,890.3922,191606.0
2019-08-08,17.99,897.3756,64234.0
2019-08-09,17.09,852.4819,103975.0
2019-08-12,16.99,847.4937,66170.0
