,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2022-06-06,66.39,65.57,66.94,65.385,2033233.0,21687.2188
2022-06-07,66.55,65.52,66.7,65.1612,2721656.0,21739.485
2022-06-08,64.77,66.44,66.47,63.13,1922248.0,21158.0232
2022-06-09,61.21,64.26,64.46,61.16,1811196.0,19995.0996
2022-06-10,59.79,59.85,61.06,59.21,1540816.0,19531.2368
2022-06-13,55.48,58.27,58.99,55.2,2113210.0,18123.3152
2022-06-14,54.44,56.03,56.48,53.32,2330437.0,17783.5847
2022-06-15,58.2,55.7,59.555,55.68,3891756.0,19011.8411
2022-06-16,58.26,56.33,58.35,56.08,4837021.0,19031.441
2022-06-17,58.1,58.55,59.5,55.485,6478900.0,18979.1747
2022-06-21,60.38,58.1,60.94,58.1,4363642.0,19723.9685
2022-06-22,59.21,59.28,60.43,58.865,3233385.0,19341.7717
2022-06-23,58.65,59.88,61.23,57.79,2667573.0,19158.8399
2022-06-24,59.28,58.84,60.34,57.98,6473798.0,19364.6382
2022-06-27,59.42,59.12,59.871,58.42,1718870.0,19410.3711
2022-06-28,58.08,59.84,60.91,57.83,1401743.0,18972.6415
2022-06-29,57.31,57.96,58.155,56.32,1412233.0,18721.1102
2022-06-30,57.26,56.9,58.834,56.55,2424421.0,18704.777
2022-07-01,57.6,56.72,58.09,56.62,1531893.0,18815.8428
2022-07-05,54.94,57.15,57.37,52.89,2696679.0,17946.9167
2022-07-06,56.76,55.13,57.22,54.56,1716553.0,18541.4451
2022-07-07,59.11,57.57,59.9,57.57,1872094.0,19309.1053
2022-07-08,59.65,58.94,59.81,57.42,2096172.0,19485.5038
2022-07-11,59.84,59.65,60.14,58.41,1774827.0,19547.57
2022-07-12,59.23,59.41,61.11,58.92,1808377.0,19348.305
2022-07-13,59.82,58.15,60.28,58.15,1577216.0,19541.0367
2022-07-14,57.92,58.29,58.97,57.09,2608750.0,18920.3752
2022-07-15,55.66,54.96,56.646,52.64,5186185.0,18182.1147
2022-07-18,54.81,56.33,56.67,54.59,2583186.0,17904.4504
2022-07-19,55.0,55.44,55.5,54.17,2326169.0,17966.5165
2022-07-20,54.07,55.16,55.345,53.37,2803622.0,17662.7191
2022-07-21,54.16,53.86,54.855,53.31,1816760.0,17692.1188
2022-07-22,54.0,54.79,55.6,53.42,1503093.0,17639.8526
2022-07-25,54.96,53.98,55.06,53.37,1847735.0,17953.45
2022-07-26,55.5,55.4,56.67,54.89,1993560.0,18129.8485
2022-07-27,55.53,55.03,55.76,54.18,1557154.0,18139.6484
2022-07-28,64.59,62.58,65.94,62.19,8460626.0,21099.2237
2022-07-29,66.1,63.85,66.6,63.64,3895292.0,21592.4862
2022-08-01,65.3,66.05,66.6,64.13,2735223.0,21331.1551
2022-08-02,65.84,65.3,66.79,64.99,1722917.0,21507.5536
2022-08-03,67.17,66.63,67.38,65.54,2286658.0,21942.0166
2022-08-04,67.46,65.51,68.37,65.51,2425911.0,22036.7492
2022-08-05,74.3,69.76,75.98,69.75,4216830.0,24271.1305
2022-08-08,75.89,77.01,77.63,74.97,3183607.0,24790.5262
2022-08-09,75.72,75.75,76.77,75.02,2945671.0,24734.9933
2022-08-10,77.12,76.05,77.2,75.5,2134576.0,25192.3228
2022-08-11,78.83,77.12,80.06,76.68,2540384.0,25750.9182
2022-08-12,81.5,79.65,81.68,79.04,2170897.0,26623.1109
2022-08-15,81.2,80.25,82.43,80.25,1980089.0,26525.1117
2022-08-16,81.4,81.1,82.11,80.9,1878803.0,26590.4445
2022-08-17,79.7,80.42,81.45,79.1,2502222.0,26035.1158
2022-08-18,81.6,79.42,82.145,79.42,1939681.0,26655.7773
2022-08-19,80.84,80.31,81.28,79.85,1703994.0,26407.5127
2022-08-22,79.65,80.75,80.75,79.52,1724562.0,26018.7826
2022-08-23,79.75,80.27,80.89,79.6,1065822.0,26051.449
2022-08-24,80.37,79.66,80.8153,79.31,1430207.0,26253.9806
2022-08-25,82.74,80.01,82.83,79.765,1551725.0,27028.1741
2022-08-26,80.83,82.74,83.23,80.6,1641112.0,26404.246
2022-08-29,81.0,79.65,81.99,79.15,1191172.0,26459.7789
2022-08-30,79.69,81.58,81.58,78.98,1802782.0,26031.8491
2022-08-31,81.59,80.26,82.39,79.57,3016477.0,26652.5106
2022-09-01,82.52,81.59,82.9399,81.16,2421083.0,26956.3081
2022-09-02,81.07,82.58,83.69,80.96,2232371.0,26482.6454
2022-09-06,82.26,81.7,82.7,81.08,2013274.0,26871.3755
2022-09-07,82.9,82.6,84.4599,81.6841,1759098.0,27080.4404
2022-09-08,85.79,82.87,85.95,82.87,2184477.0,28024.4992
2022-09-09,87.51,86.5,87.81,85.435,1906419.0,28586.3611
2022-09-12,88.13,88.56,88.66,87.46,1733754.0,28788.8928
2022-09-13,86.38,86.9,88.03,85.77,1974283.0,28217.2309
2022-09-14,88.05,86.38,88.53,86.26,3600348.0,28762.7597
2022-09-15,86.8,87.88,88.26,86.31,3631889.0,28354.4297
2022-09-16,85.57,86.61,86.86,84.8931,6245681.0,27952.6331
2022-09-19,89.36,85.4,89.7,85.25,4407538.0,29190.6894
2022-09-20,87.75,88.41,90.18,87.56,4626023.0,28664.7605
2022-09-21,87.28,88.79,90.09,87.23,2155144.0,28511.2284
2022-09-22,85.38,88.0,88.0,84.63,1863527.0,27890.5669
2022-09-23,83.85,83.785,84.34,82.155,2678980.0,27390.7711
2022-09-26,82.92,83.67,84.95,81.65,1973279.0,27086.9737
2022-09-27,83.97,83.69,85.415,83.08,1777934.0,27429.9708
2022-09-28,85.02,84.11,85.53,83.18,1564312.0,27772.9679
2022-09-29,83.04,85.05,86.21,82.07,1823692.0,27126.1733
2022-09-30,83.19,83.28,84.45,82.22,3267820.0,27175.1729
2022-10-03,86.59,85.03,86.91,83.87,2026674.0,28285.8303
2022-10-04,89.34,88.3,89.465,87.16,1679092.0,29184.1561
2022-10-05,88.17,87.68,89.47,85.59,1766792.0,28801.9593
2022-10-06,86.28,88.23,89.9094,85.95,1677380.0,28184.5645
2022-10-07,84.39,85.71,85.75,83.37,2017173.0,27567.1696
2022-10-10,84.72,84.95,85.63,83.93,982937.0,27674.9687
2022-10-11,82.88,84.41,85.32,82.55,1534413.0,27073.9071
2022-10-12,82.16,83.11,83.59,81.68,1878701.0,26838.7091
2022-10-13,83.82,80.56,84.32,79.3,2746499.0,27380.9712
2022-10-14,81.26,84.21,84.76,80.71,1693599.0,26544.7115
2022-10-17,85.19,83.22,86.29,83.14,1678913.0,27828.5008
2022-10-18,86.51,86.5,87.4,84.51,1598879.0,28259.6972
2022-10-19,85.69,85.09,86.23,84.56,1325774.0,27991.8328
2022-10-20,84.56,86.3699,86.73,84.18,2076533.0,27622.7025
2022-10-21,87.28,84.7,87.46,83.66,1749273.0,28511.2284
2022-10-24,87.58,87.568,87.71,85.57,1325229.0,28609.2276
