,MAS US Equity,MAS US Equity,MAS US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2017-12-11,42.42,13343.8597,1749683.0
2017-12-12,42.19,13271.5097,2506373.0
2017-12-13,42.02,13218.0336,2653348.0
2017-12-14,41.85,13164.5575,3238025.0
2017-12-15,42.31,13309.2575,3006966.0
2017-12-18,43.0,13526.3076,2310540.0
2017-12-19,43.0,13526.3076,3433659.0
2017-12-20,43.67,13737.0663,2841290.0
2017-12-21,44.24,13916.3685,2254094.0
2017-12-22,43.83,13787.3967,2254560.0
2017-12-26,44.02,13847.1642,891853.0
2017-12-27,43.88,13803.125,1674841.0
2017-12-28,44.12,13878.6207,1881129.0
2017-12-29,43.94,13821.9989,1653486.0
2018-01-02,43.81,13781.1054,1588106.0
2018-01-03,44.0,13840.8728,4520616.0
2018-01-04,44.05,13856.6011,1852497.0
2018-01-05,44.46,13985.5729,2905839.0
2018-01-08,44.67,14051.6316,3283404.0
2018-01-09,45.43,14290.7012,3414023.0
2018-01-10,44.71,14064.2142,2127325.0
2018-01-11,45.73,14385.0708,3133856.0
2018-01-12,45.76,14394.5078,2603508.0
2018-01-16,45.24,14230.9338,3090188.0
2018-01-17,45.83,14416.5273,2389681.0
2018-01-18,46.27,14554.9361,2608820.0
2018-01-19,45.9,14438.5469,2775351.0
2018-01-22,45.87,14429.1099,2301044.0
2018-01-23,45.46,14300.1382,3528805.0
2018-01-24,45.91,14441.6926,2134801.0
2018-01-25,45.43,14290.7012,3116009.0
2018-01-26,45.33,14259.2447,3431169.0
2018-01-29,44.64,14042.1946,2633106.0
2018-01-30,44.52,14004.4468,2694845.0
2018-01-31,44.66,14048.4859,3643128.0
2018-02-01,44.07,13862.8924,2177520.0
2018-02-02,42.9,13494.851,3942852.0
2018-02-05,41.28,12985.2553,4493583.0
2018-02-06,42.34,13318.6945,4626940.0
2018-02-07,42.69,13428.7923,4555425.0
2018-02-08,40.7,12755.0341,6658627.0
2018-02-09,42.13,13203.1839,5990423.0
2018-02-12,43.12,13513.4415,4981055.0
2018-02-13,42.76,13400.6205,4258104.0
2018-02-14,42.94,13457.031,2892508.0
2018-02-15,42.83,13422.5579,2860644.0
2018-02-16,43.21,13541.6467,2767559.0
2018-02-20,42.52,13325.4066,2000632.0
2018-02-21,42.4,13287.7996,3790978.0
2018-02-22,42.58,13344.2101,2273789.0
2018-02-23,43.02,13482.1023,2395789.0
2018-02-26,42.87,13435.0936,2946108.0
2018-02-27,41.89,13127.9699,2820737.0
2018-02-28,41.12,12886.6585,4480314.0
2018-03-01,40.85,12802.0428,4801305.0
2018-03-02,40.51,12695.4897,4594235.0
2018-03-05,41.16,12899.1941,3025347.0
2018-03-06,41.14,12892.9263,2805422.0
2018-03-07,41.27,12933.6672,2276948.0
2018-03-08,41.45,12990.0777,1674348.0
2018-03-09,42.48,13312.8709,1834166.0
2018-03-12,42.47,13309.737,3086968.0
2018-03-13,42.29,13253.3265,2084535.0
2018-03-14,41.57,13027.6847,2183814.0
2018-03-15,41.61,13040.2203,2638582.0
