,VLO US Equity,VLO US Equity,VLO US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2021-08-04,64.18,26238.2877,6121236.0
2021-08-05,65.71,26863.7876,3311982.0
2021-08-06,66.5,27186.7581,2850978.0
2021-08-09,66.0,26982.3464,2736320.0
2021-08-10,66.9,27350.2875,3721137.0
2021-08-11,66.84,27325.7581,4869417.0
2021-08-12,67.25,27493.3757,1905057.0
2021-08-13,66.25,27084.5522,1944195.0
2021-08-16,64.54,26385.4642,2993513.0
2021-08-17,63.51,25964.376,3256770.0
2021-08-18,62.24,25445.1703,3082602.0
2021-08-19,60.24,24627.5234,5267936.0
2021-08-20,60.2,24611.1705,4871041.0
2021-08-23,63.11,25800.8467,4826286.0
2021-08-24,65.23,26667.5523,3833670.0
2021-08-25,66.34,27121.3463,3064648.0
2021-08-26,65.46,26761.5817,2726012.0
2021-08-27,67.11,27436.1404,3200349.0
2021-08-30,66.02,26990.5228,2653287.0
2021-08-31,66.31,27109.0816,6113151.0
2021-09-01,63.95,26144.2583,5186884.0
2021-09-02,65.2,26655.2876,3503394.0
2021-09-03,64.7,26450.8759,2091932.0
2021-09-07,65.52,26786.1111,3021897.0
2021-09-08,63.7,26042.0525,3396751.0
2021-09-09,63.54,25976.6407,2827854.0
2021-09-10,63.41,25923.4937,3212121.0
2021-09-13,66.18,27055.9346,4432782.0
2021-09-14,64.7,26450.8759,2956348.0
2021-09-15,66.51,27190.8463,4031971.0
2021-09-16,65.46,26761.5817,2308125.0
2021-09-17,65.6,26818.817,4780533.0
2021-09-20,62.97,25743.6114,3801882.0
2021-09-21,63.32,25886.6996,3019560.0
2021-09-22,65.32,26704.3464,4729307.0
2021-09-23,67.17,27460.6698,3373788.0
2021-09-24,67.63,27648.7286,2297939.0
2021-09-27,70.78,28936.5224,5049566.0
2021-09-28,71.17,29095.9635,4656729.0
2021-09-29,70.31,28744.3754,2820968.0
2021-09-30,70.57,28850.6695,4088773.0
2021-10-01,73.62,30097.5809,5098837.0
2021-10-04,75.02,30669.9337,4074465.0
2021-10-05,74.3,30375.5808,4785457.0
2021-10-06,75.37,30813.0219,4529377.0
2021-10-07,75.9,31029.6983,3904624.0
2021-10-08,78.6,32133.5216,3476795.0
2021-10-11,77.8,31806.4629,4028870.0
2021-10-12,78.92,32264.3451,2567851.0
2021-10-13,78.14,31945.4628,3072965.0
2021-10-14,79.17,32366.551,2533405.0
2021-10-15,78.66,32158.051,2568345.0
2021-10-18,78.13,31941.3746,3525362.0
2021-10-19,80.15,32767.1979,3560463.0
2021-10-20,81.04,33131.0508,3897415.0
2021-10-21,82.0,33523.5213,4558519.0
2021-10-22,80.99,33110.6096,3923659.0
2021-10-25,82.69,33805.6094,2730625.0
2021-10-26,81.88,33474.4624,2363263.0
2021-10-27,78.67,32163.0978,3180245.0
2021-10-28,78.46,32077.2424,3366054.0
2021-10-29,77.33,31615.2581,4783990.0
2021-11-01,78.02,31897.3547,3375295.0
2021-11-02,75.86,31014.2698,3913054.0
2021-11-03,75.88,31022.4465,4436215.0
2021-11-04,76.35,31214.5992,3475100.0
2021-11-05,77.92,31856.4711,3492629.0
2021-11-08,77.78,31799.2341,2701994.0
2021-11-09,78.25,31991.3869,3519902.0
2021-11-10,76.86,31423.1054,3523615.0
2021-11-11,77.22,31570.2862,2710394.0
2021-11-12,76.58,31308.6314,2847024.0
2021-11-15,77.35,31623.4348,4343083.0
2021-11-16,77.94,31864.6478,4544201.0
2021-11-17,73.45,30028.9759,4190428.0
2021-11-18,72.96,29828.6465,3985145.0
2021-11-19,69.07,28238.2759,5477544.0
2021-11-22,70.65,28884.2362,3631729.0
2021-11-23,72.55,29661.0239,3418275.0
2021-11-24,72.95,29824.5581,3636989.0
2021-11-26,68.01,27804.9102,5674446.0
2021-11-29,68.17,27870.3239,3889641.0
2021-11-30,66.94,27367.4561,9927907.0
2021-12-01,67.31,27518.7252,5872680.0
2021-12-02,71.17,29096.8307,5242754.0
2021-12-03,69.71,28499.9307,4134236.0
2021-12-06,70.41,28786.1157,2575734.0
2021-12-07,71.63,29284.8951,3384114.0
2021-12-08,70.72,28912.8547,2674541.0
2021-12-09,70.31,28745.2321,3247008.0
2021-12-10,70.85,28966.0033,2194231.0
2021-12-13,68.22,27890.7657,2859793.0
2021-12-14,68.19,27878.5006,2694005.0
2021-12-15,68.24,27898.9424,3136429.0
2021-12-16,68.75,28107.4485,3030689.0
2021-12-17,68.69,28082.9184,5213447.0
2021-12-20,68.69,28082.9184,4400760.0
2021-12-21,71.32,29158.1561,4584991.0
2021-12-22,71.3,29149.9793,1856921.0
2021-12-23,71.73,29325.7787,3644157.0
2021-12-27,73.13,29898.1485,2220065.0
2021-12-28,74.5,30458.2533,2784850.0
2021-12-29,74.65,30519.5787,2778119.0
2021-12-30,74.28,30368.3095,2202026.0
2021-12-31,75.11,30707.643,2478088.0
2022-01-03,77.14,31537.5793,3568275.0
2022-01-04,78.51,32097.6841,4171720.0
2022-01-05,78.2,31970.9451,3999807.0
2022-01-06,80.16,32772.2629,4248163.0
2022-01-07,81.0,33115.6848,3723186.0
2022-01-10,81.03,33127.9499,3975934.0
2022-01-11,83.85,34280.8663,4174131.0
2022-01-12,84.37,34493.4608,3192545.0
2022-01-13,83.36,34080.5369,3033147.0
2022-01-14,85.2,34832.7944,3121437.0
2022-01-18,85.64,35012.6821,3514079.0
2022-01-19,84.21,34428.0471,2786852.0
2022-01-20,81.41,33283.3074,3868776.0
2022-01-21,79.29,32416.5759,5994934.0
2022-01-24,78.59,32130.391,5075821.0
2022-01-25,81.16,33181.0985,4948080.0
