,NI US Equity,NI US Equity,NI US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-03-24,13.7732,11005.3984,1137074.0
2014-03-25,13.7496,10986.5589,1122365.0
2014-03-26,13.7536,10989.6988,1669268.0
2014-03-27,13.895,11102.7357,1307468.0
2014-03-28,13.8911,11099.5958,1784807.0
2014-03-31,13.9618,11156.1142,1888467.0
2014-04-01,14.0365,11215.7726,1846916.0
2014-04-02,13.9186,11121.5752,1618644.0
2014-04-03,13.9225,11124.7151,1630933.0
2014-04-04,13.8675,11107.8301,2490880.0
2014-04-07,13.6671,10947.3033,2735404.0
2014-04-08,13.8046,11057.4688,2465171.0
2014-04-09,13.8204,11070.0591,2601513.0
2014-04-10,13.7064,10978.7791,1757512.0
2014-04-11,13.6514,10934.7129,2626839.0
2014-04-14,13.7182,10988.2219,1589872.0
2014-04-15,13.9854,11202.2577,2598944.0
2014-04-16,14.2644,11425.7363,2347376.0
2014-04-17,14.1151,11306.128,1598638.0
2014-04-21,14.0326,11240.0287,1059954.0
2014-04-22,14.0797,11277.7998,1648465.0
2014-04-23,14.119,11309.2756,1448116.0
2014-04-24,14.0954,11290.3901,2210667.0
2014-04-25,14.174,11353.3418,1800854.0
2014-04-28,14.1897,11365.9322,2645900.0
2014-04-29,14.2605,11422.5887,2466031.0
2014-04-30,14.2723,11436.3276,2632891.0
2014-05-01,14.5473,11656.7414,2437167.0
2014-05-02,14.2408,11411.1375,1977242.0
2014-05-05,14.4452,11574.8734,1899999.0
2014-05-06,14.3705,11515.0468,1624673.0
2014-05-07,14.567,11672.4853,1734910.0
2014-05-08,14.3587,11505.6005,1372337.0
2014-05-09,14.1229,11316.6744,1785523.0
2014-05-12,14.1426,11332.4182,1720592.0
2014-05-13,14.0915,11291.4843,1960866.0
2014-05-14,14.2408,11411.1375,2101846.0
2014-05-15,14.2212,11395.3936,1421700.0
2014-05-16,14.3351,11486.7079,1942874.0
2014-05-19,14.4766,11600.0636,4392209.0
2014-05-20,14.4177,11552.8321,2602979.0
2014-05-21,14.457,11584.3197,2442819.0
2014-05-22,14.6141,11710.2705,1415186.0
2014-05-23,14.6967,11776.3946,1686092.0
2014-05-27,14.5984,11697.6754,1810572.0
2014-05-28,14.6338,11726.0143,1959452.0
2014-05-29,14.5984,11697.6754,1490203.0
2014-05-30,14.6849,11766.9483,2002708.0
2014-06-02,14.8067,11864.5601,1620179.0
2014-06-03,14.7674,11833.0725,1222843.0
2014-06-04,14.8696,11914.9404,1489784.0
2014-06-05,14.8931,11933.8331,1654309.0
2014-06-06,14.8342,11886.6015,1097563.0
2014-06-09,14.7281,11801.5848,869287.0
2014-06-10,14.5709,11675.634,1520791.0
2014-06-11,14.4137,11549.6833,1771319.0
2014-06-12,14.5356,11647.2951,1997896.0
2014-06-13,14.6141,11710.2705,1442435.0
2014-06-16,14.7556,11823.6262,1701323.0
2014-06-17,14.7792,11842.5188,2181271.0
2014-06-18,15.0464,12056.635,1661085.0
2014-06-19,15.2507,12220.371,2551047.0
2014-06-20,15.1368,12129.0567,2548897.0
2014-06-23,15.1525,12141.6518,1073724.0
2014-06-24,15.1564,12144.8006,1420930.0
2014-06-25,15.5022,12421.8922,4257888.0
2014-06-26,15.4787,12402.9996,3287477.0
2014-06-27,15.4158,12352.6193,2448107.0
2014-06-30,15.459,12387.2557,2513349.0
2014-07-01,15.3883,12330.5779,2026586.0
2014-07-02,15.1682,12154.2469,2062413.0
2014-07-03,15.0032,12021.9986,1232797.0
2014-07-07,15.0307,12044.04,1745989.0
2014-07-08,15.0385,12050.3375,1892997.0
2014-07-09,15.1329,12125.9079,2074289.0
2014-07-10,15.2979,12258.1562,1699305.0
2014-07-11,15.3608,12308.5365,1981792.0
2014-07-14,15.235,12207.7759,1531308.0
2014-07-15,15.2232,12198.3296,1202692.0
2014-07-16,15.2114,12188.8833,1182758.0
2014-07-17,15.1053,12103.8666,908751.0
2014-07-18,15.4119,12349.4705,2576082.0
2014-07-21,15.4119,12349.4705,979111.0
2014-07-22,15.5022,12421.8922,1236269.0
2014-07-23,15.4944,12415.5947,1051837.0
2014-07-24,15.5533,12462.8262,1047867.0
2014-07-25,15.4472,12377.8094,1156201.0
2014-07-28,15.4787,12402.9996,2028641.0
2014-07-29,15.2665,12232.9661,2072354.0
2014-07-30,15.1329,12125.9079,2290137.0
2014-07-31,14.8067,11881.1877,3076000.0
2014-08-01,14.6338,11742.4477,2721339.0
2014-08-04,14.6888,11786.5923,3530923.0
2014-08-05,14.4177,11569.0228,3145419.0
2014-08-06,14.3548,11518.5719,4185316.0
2014-08-07,14.3784,11537.491,1586761.0
2014-08-08,14.6652,11767.6732,2223269.0
2014-08-11,14.7124,11805.5114,1480884.0
2014-08-12,14.7792,11859.1155,1488571.0
2014-08-13,14.9167,11969.4768,1254233.0
2014-08-14,15.1053,12120.8295,1078720.0
2014-08-15,15.1997,12196.5059,1814724.0
2014-08-18,15.1329,12142.9018,1367676.0
2014-08-19,15.3097,12284.795,1268740.0
2014-08-20,15.294,12272.1822,1374316.0
2014-08-21,15.2429,12231.1909,1358514.0
2014-08-22,15.1879,12187.0463,1353613.0
2014-08-25,15.2429,12231.1909,1839410.0
2014-08-26,15.1486,12155.5145,1348861.0
2014-08-27,15.3568,12322.6331,1453493.0
2014-08-28,15.5258,12458.2199,1302570.0
2014-08-29,15.5887,12508.6708,1248936.0
2014-09-02,15.5926,12511.824,1896115.0
2014-09-03,15.6398,12549.6622,1358178.0
2014-09-04,15.6555,12562.2749,1844806.0
2014-09-05,15.8755,12738.8531,2547844.0
2014-09-08,15.8716,12735.6999,1519096.0
2014-09-09,15.7852,12666.3299,2184261.0
2014-09-10,15.7026,12600.1131,1232072.0
2014-09-11,15.7223,12615.879,1141680.0
2014-09-12,15.3372,12306.8672,2249947.0
2014-09-15,15.2979,12275.3354,1498478.0
2014-09-16,15.5101,12445.6072,1373073.0
2014-09-17,15.4708,12414.0754,1114236.0
2014-09-18,15.4158,12369.9309,1573468.0
2014-09-19,15.624,12537.0495,4238552.0
2014-09-22,15.4276,12379.3904,1850787.0
2014-09-23,15.4551,12401.4627,3343995.0
2014-09-24,15.3647,12328.9395,1155435.0
2014-09-25,15.1879,12187.0463,1994488.0
2014-09-26,15.1604,12164.9741,2680980.0
2014-09-29,16.0484,12877.5931,8635719.0
2014-09-30,16.1035,12921.7376,3858349.0
2014-10-01,16.0563,12883.8994,2551961.0
2014-10-02,16.0249,12858.674,2525284.0
2014-10-03,16.2017,13000.5671,1907312.0
2014-10-06,16.3235,13098.3158,1979132.0
2014-10-07,16.2842,13066.784,2443587.0
2014-10-08,16.5672,13293.813,1669216.0
2014-10-09,15.9541,12801.9167,3461937.0
2014-10-10,15.9384,12789.304,3245640.0
2014-10-13,15.6633,12568.5813,1559587.0
2014-10-14,15.3686,12332.0927,4343311.0
2014-10-15,15.1643,12168.1272,3496928.0
2014-10-16,15.4944,12432.9945,3110384.0
2014-10-17,15.6005,12518.1304,2702855.0
2014-10-20,16.0091,12846.0613,2019878.0
2014-10-21,16.1152,12931.1972,1658937.0
2014-10-22,16.017,12852.3676,1818329.0
2014-10-23,16.2213,13016.3331,1240041.0
2014-10-24,16.41,13167.6858,1612179.0
2014-10-27,16.3392,13110.9285,1137953.0
2014-10-28,16.5161,13252.8217,1934924.0
2014-10-29,16.355,13123.5412,1411355.0
2014-10-30,16.6497,13376.2018,1687292.0
2014-10-31,16.5279,13278.3348,2216773.0
2014-11-03,16.7518,13458.2837,2424130.0
2014-11-04,16.3392,13126.7989,1860236.0
2014-11-05,16.7676,13470.9117,2360288.0
2014-11-06,16.6104,13344.6318,2528676.0
2014-11-07,16.6536,13379.3588,1965692.0
2014-11-10,16.685,13404.6147,1642151.0
2014-11-11,16.7047,13420.3997,1383344.0
2014-11-12,16.3353,13123.6419,2167223.0
2014-11-13,16.2056,13019.461,1951943.0
2014-11-14,16.0288,12877.396,2145767.0
2014-11-17,16.1545,12978.42,1592315.0
2014-11-18,16.1388,12965.792,3689318.0
2014-11-19,16.0877,12924.751,1835473.0
2014-11-20,16.2135,13025.7749,1752941.0
2014-11-21,16.2685,13069.9729,3150671.0
2014-11-24,16.2567,13060.5019,1432397.0
2014-11-25,16.3864,13164.6829,1525993.0
2014-11-26,16.4335,13202.5669,1205212.0
2014-11-28,16.4414,13208.8808,1276494.0
2014-12-01,16.3117,13104.6999,1622714.0
2014-12-02,16.4493,13215.1948,2084312.0
2014-12-03,16.5121,13265.7068,1630796.0
2014-12-04,16.6418,13369.8878,1659051.0
2014-12-05,16.4296,13199.4099,1524280.0
2014-12-08,16.3078,13101.5429,1264909.0
2014-12-09,16.4611,13224.6658,1246684.0
2014-12-10,16.017,12867.925,1825372.0
2014-12-11,16.0288,12877.396,1798825.0
2014-12-12,15.7066,12618.5222,2251330.0
2014-12-15,15.4354,12400.6893,1636822.0
2014-12-16,15.3647,12343.8633,1744204.0
2014-12-17,15.8362,12722.7031,3214497.0
2014-12-18,16.3353,13123.6419,2076786.0
2014-12-19,16.3982,13174.1539,2488347.0
2014-12-22,16.5161,13268.8638,1069644.0
2014-12-23,16.5436,13290.9628,1178597.0
2014-12-24,16.9287,13600.3486,880474.0
2014-12-26,17.3216,13916.0485,1658283.0
2014-12-29,17.412,13988.6594,1804365.0
2014-12-30,17.0584,13704.5296,1414820.0
2014-12-31,16.6693,13391.9868,1796240.0
2015-01-02,16.6811,13401.4577,2151392.0
2015-01-05,16.4846,13243.6078,2303861.0
2015-01-06,16.2921,13088.9149,2894856.0
2015-01-07,16.5672,13309.9048,1362659.0
2015-01-08,16.8697,13552.9937,1717230.0
2015-01-09,16.7047,13420.3997,1447387.0
