,AMD US Equity,AMD US Equity,AMD US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2017-08-02,13.37,12634.8639,67502194.0
2017-08-03,13.24,12535.354,52557354.0
2017-08-04,13.12,12421.7405,64254045.0
2017-08-07,13.43,12715.242,57486768.0
2017-08-08,13.11,12412.2727,47338001.0
2017-08-09,12.83,12147.1746,58861491.0
2017-08-10,12.12,11474.9615,83113365.0
2017-08-11,12.23,11579.1072,63558840.0
2017-08-14,12.76,12080.9,64426061.0
2017-08-15,13.02,12327.0626,57990255.0
2017-08-16,12.63,11957.8188,64639428.0
2017-08-17,12.34,11683.2529,47370978.0
2017-08-18,12.37,11711.6562,37521694.0
2017-08-21,12.05,11408.687,58888505.0
2017-08-22,12.17,11522.3004,39033223.0
2017-08-23,12.48,11815.8019,44345380.0
2017-08-24,12.5,11834.7375,37269674.0
2017-08-25,12.43,11768.463,29732049.0
2017-08-28,12.23,11579.1072,35969587.0
2017-08-29,12.15,11503.3649,33618112.0
2017-08-30,12.67,11995.6899,43932966.0
2017-08-31,13.0,12308.127,51822102.0
2017-09-01,13.19,12488.015,53158562.0
2017-09-05,12.92,12232.3847,51578710.0
2017-09-06,12.86,12175.5779,34182430.0
2017-09-07,12.63,11957.8188,35816911.0
2017-09-08,12.25,11598.0428,60886232.0
2017-09-11,12.55,11882.0765,43346052.0
2017-09-12,12.3,11645.3817,54413148.0
2017-09-13,12.22,11569.6394,37210654.0
2017-09-14,12.26,11607.5105,37220155.0
2017-09-15,12.52,11853.6731,50337411.0
2017-09-18,13.08,12383.8693,83517385.0
2017-09-19,13.12,12421.7405,65455230.0
2017-09-20,13.74,13008.7435,102682437.0
2017-09-21,13.41,12696.3064,166821947.0
2017-09-22,13.3,12592.1607,50546957.0
2017-09-25,12.61,11938.8832,84172237.0
2017-09-26,12.45,11787.399,68302025.0
2017-09-27,12.74,12061.965,59947247.0
2017-09-28,12.74,12061.965,35812311.0
2017-09-29,12.75,12071.4327,33926900.0
2017-10-02,12.71,12033.5616,34461080.0
2017-10-03,13.42,12705.7747,85174031.0
2017-10-04,13.31,12601.629,42303159.0
2017-10-05,13.34,12630.0324,34758604.0
2017-10-06,13.23,12525.8867,28258656.0
2017-10-09,13.47,12753.1137,54032528.0
2017-10-10,13.7,12970.8728,43303955.0
2017-10-11,13.88,13141.2931,38746553.0
2017-10-12,14.2,13444.2624,69874095.0
2017-10-13,14.22,13463.1979,37515843.0
2017-10-16,14.26,13501.0691,34136783.0
2017-10-17,14.16,13406.3912,28995567.0
2017-10-18,14.07,13321.1811,39020286.0
2017-10-19,13.95,13207.5676,33795708.0
2017-10-20,13.81,13075.0185,32538937.0
2017-10-23,14.1,13349.5844,49838009.0
2017-10-24,14.25,13491.6013,84891583.0
2017-10-25,12.33,11673.7856,166762120.0
2017-10-26,12.005,11366.0824,87625437.0
2017-10-27,11.84,11209.8638,115650373.0
2017-10-30,10.89,10310.4237,137785101.0
2017-10-31,10.985,10400.3677,78600023.0
2017-11-01,10.8,10225.2136,66875483.0
2017-11-02,10.85,10468.0648,47942464.0
2017-11-03,11.12,10728.5605,44264291.0
2017-11-06,11.93,11510.0473,96349758.0
2017-11-07,12.05,11625.8232,67900203.0
2017-11-08,11.71,11297.7916,59065041.0
2017-11-09,11.12,10728.5605,76821154.0
2017-11-10,11.26,10863.6323,50209909.0
2017-11-13,11.09,10699.6165,54068315.0
2017-11-14,11.12,10728.5605,37245039.0
2017-11-15,11.07,10680.3205,33524701.0
2017-11-16,11.25,10853.9843,31800408.0
2017-11-17,11.38,10979.4081,56775579.0
2017-11-20,11.34,10940.8162,35960204.0
2017-11-21,11.4,10998.7041,31881681.0
2017-11-22,11.37,10969.7601,23816482.0
