,UAL US Equity,UAL US Equity,UAL US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2019-06-28,87.55,23136.937,3025379.0
2019-07-01,88.45,23374.781,4017249.0
2019-07-02,88.87,23485.7749,2237183.0
2019-07-03,90.67,23961.4629,1647124.0
2019-07-05,90.59,23940.3212,3227673.0
2019-07-08,90.67,23961.4629,2514955.0
2019-07-09,89.46,23641.6948,3912846.0
2019-07-10,89.51,23654.9084,2395319.0
2019-07-11,89.48,23646.9803,2262280.0
2019-07-12,91.23,24109.4547,2895023.0
2019-07-15,91.32,24133.2391,2388252.0
2019-07-16,93.92,24820.3441,4706092.0
2019-07-17,94.78,25047.6172,6019468.0
2019-07-18,95.28,25179.7528,3300545.0
2019-07-19,93.83,24796.5597,3361100.0
2019-07-22,93.83,24106.9414,2305149.0
2019-07-23,94.93,24389.5551,2105228.0
2019-07-24,95.11,24435.8009,2344366.0
2019-07-25,93.93,24132.6336,3196204.0
2019-07-26,93.36,23986.1883,1684835.0
2019-07-29,93.44,24006.7421,1957136.0
2019-07-30,93.93,24132.6336,1717369.0
2019-07-31,91.91,23613.6522,2125262.0
2019-08-01,90.49,23248.8237,2518736.0
2019-08-02,89.43,22976.487,2281848.0
2019-08-05,85.59,21989.9085,3721837.0
2019-08-06,85.46,21956.5087,2369853.0
2019-08-07,86.48,22218.5686,2380052.0
2019-08-08,87.63,22514.0283,1419870.0
2019-08-09,86.98,22347.0294,2078719.0
2019-08-12,84.71,21763.8176,2185046.0
2019-08-13,84.56,21725.2794,2669290.0
2019-08-14,81.95,21054.7144,3250818.0
2019-08-15,81.62,20969.9303,3236384.0
2019-08-16,82.94,21309.0666,2294252.0
2019-08-19,83.89,21553.142,2268781.0
2019-08-20,84.03,21589.111,1495009.0
2019-08-21,85.29,21912.8321,1672641.0
2019-08-22,85.56,21982.2009,1310135.0
2019-08-23,82.53,21203.7288,3674673.0
2019-08-26,83.58,21473.4964,1851387.0
2019-08-27,81.94,21052.1452,2213751.0
2019-08-28,82.45,21183.1751,2299537.0
2019-08-29,84.69,21758.6792,4085102.0
2019-08-30,84.31,21661.0491,1929469.0
2019-09-03,83.15,21363.0201,2350081.0
2019-09-04,83.91,21558.2805,2739635.0
2019-09-05,85.84,22054.1389,2968888.0
2019-09-06,86.3,22172.3228,2345125.0
2019-09-09,87.33,22436.9519,2123125.0
2019-09-10,87.56,22496.0438,1711943.0
2019-09-11,88.38,22706.7194,2431520.0
2019-09-12,89.38,22963.6409,2724658.0
2019-09-13,91.35,23469.7762,3000707.0
2019-09-16,88.76,22804.3496,3438150.0
2019-09-17,89.98,23117.7938,3635129.0
2019-09-18,90.23,23182.0241,2174822.0
2019-09-19,89.42,22973.9178,2367602.0
2019-09-20,89.09,22889.1337,2764305.0
2019-09-23,88.21,22663.0428,3178752.0
2019-09-24,88.3,22686.1657,1563720.0
2019-09-25,89.17,22909.6874,1744522.0
2019-09-26,88.45,22724.7039,1306010.0
2019-09-27,88.14,22645.0583,1668260.0
2019-09-30,88.41,22714.4271,1959398.0
2019-10-01,87.84,22567.9818,2429757.0
2019-10-02,83.69,21501.7577,4346907.0
2019-10-03,83.27,21393.8507,2768483.0
2019-10-04,84.29,21655.9106,1957962.0
2019-10-07,84.85,21799.7866,2124385.0
2019-10-08,84.69,21758.6792,2575541.0
2019-10-09,86.46,22213.4302,3163430.0
2019-10-10,87.34,22439.5211,2830522.0
2019-10-11,87.15,22390.706,2461176.0
2019-10-14,86.97,22344.4602,3457479.0
2019-10-15,87.88,22578.2587,4746893.0
2019-10-16,89.7,23045.8558,6805187.0
2019-10-17,89.46,22984.1946,2493214.0
2019-10-18,90.085,23144.7705,2722683.0
2019-10-21,90.78,22971.3025,2066314.0
2019-10-22,89.71,22700.5458,2033340.0
2019-10-23,89.9,22748.6241,1644482.0
2019-10-24,89.81,22725.8502,2294969.0
2019-10-25,91.64,23188.9201,2218463.0
2019-10-28,92.19,23328.0941,1841018.0
2019-10-29,91.03,23034.5635,1552535.0
2019-10-30,91.67,23196.5114,1694758.0
2019-10-31,90.84,22986.4852,1997503.0
2019-11-01,91.65,23191.4505,2248324.0
2019-11-04,92.39,23378.7028,1905931.0
2019-11-05,93.12,23563.4247,2623950.0
2019-11-06,93.34,23619.0943,1179340.0
2019-11-07,93.8,23735.4944,3014104.0
2019-11-08,93.44,23644.3987,914941.0
2019-11-11,93.53,23667.1726,1127088.0
2019-11-12,92.72,23462.2072,1543614.0
2019-11-13,92.42,23386.2941,1863345.0
2019-11-14,92.52,23411.5985,1051767.0
2019-11-15,92.51,23409.0681,1552721.0
2019-11-18,92.77,23474.8594,1808656.0
2019-11-19,93.29,23606.4421,1606663.0
2019-11-20,91.7,23204.1027,3133884.0
2019-11-21,90.97,23019.3808,1630935.0
2019-11-22,91.78,23224.3462,1440399.0
2019-11-25,92.52,23411.5985,1941650.0
2019-11-26,92.76,23472.329,2043490.0
2019-11-27,93.05,23545.7116,1602154.0
2019-11-29,92.8,23482.4507,905807.0
2019-12-02,91.63,23186.3896,1941963.0
2019-12-03,88.87,22487.9892,3393153.0
2019-12-04,88.17,22310.8586,2072411.0
2019-12-05,87.86,22232.4151,1959655.0
2019-12-06,88.58,22414.6065,1485328.0
2019-12-09,87.61,22169.1542,2235201.0
2019-12-10,86.51,21890.8062,1994909.0
2019-12-11,87.02,22019.8584,2418182.0
2019-12-12,88.47,22386.7717,2903831.0
2019-12-13,87.58,22161.5629,1972842.0
2019-12-16,88.63,22427.2587,2090200.0
2019-12-17,89.36,22611.9806,2218406.0
2019-12-18,88.84,22480.3979,1876903.0
2019-12-19,89.22,22576.5545,2172531.0
2019-12-20,89.28,22591.7371,3026482.0
2019-12-23,89.44,22632.2241,1906056.0
2019-12-24,89.15,22558.8414,771149.0
2019-12-26,89.26,22586.6762,1041642.0
2019-12-27,88.37,22361.4674,1402073.0
2019-12-30,87.96,22257.7195,1799897.0
2019-12-31,88.09,22290.6151,2073700.0
2020-01-02,89.74,22708.1372,2671623.0
2020-01-03,87.9,22242.5368,3562918.0
2020-01-06,87.7,22191.9281,2652773.0
2020-01-07,86.77,21956.5975,2594744.0
2020-01-08,87.3,22090.7106,4153259.0
2020-01-09,87.95,22255.189,2252191.0
2020-01-10,87.31,22093.2411,2035663.0
2020-01-13,86.89,21986.9627,2707860.0
2020-01-14,87.85,22229.8847,3243640.0
2020-01-15,88.29,22341.2239,1878934.0
2020-01-16,89.54,22657.5284,2427506.0
2020-01-17,89.7,22698.0154,4221217.0
2020-01-21,85.79,21708.6147,9546684.0
2020-01-22,83.34,21088.6578,8453244.0
2020-01-23,84.88,21478.345,6194380.0
2020-01-24,81.9,20724.2749,6869764.0
2020-01-27,77.63,19643.7785,8671260.0
2020-01-28,77.05,19497.0132,7575578.0
2020-01-29,75.21,19031.4129,5512397.0
2020-01-30,77.75,19674.1438,5900393.0
