,WY US Equity,WY US Equity,WY US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2020-12-16,33.9,25303.7397,4375729.0
2020-12-17,34.46,25721.7366,5326566.0
2020-12-18,33.74,25184.312,7757013.0
2020-12-21,33.33,24878.2786,3345273.0
2020-12-22,33.35,24893.2071,2312628.0
2020-12-23,33.61,25087.277,4237836.0
2020-12-24,33.85,25266.4186,1135353.0
2020-12-28,33.71,25161.9193,2541694.0
2020-12-29,33.33,24878.2786,1988062.0
2020-12-30,33.65,25117.134,2128928.0
2020-12-31,33.53,25027.5632,2633355.0
2021-01-04,32.81,24490.1386,4859063.0
2021-01-05,33.12,24721.5298,3908983.0
2021-01-06,33.29,24848.4217,5602271.0
2021-01-07,33.61,25087.277,3984726.0
2021-01-08,33.38,24915.5997,4376023.0
2021-01-11,33.1,24706.6013,4554059.0
2021-01-12,32.71,24415.4963,3958250.0
2021-01-13,32.16,24004.9637,4096610.0
2021-01-14,32.67,24385.6394,3286866.0
2021-01-15,32.52,24273.676,2512118.0
2021-01-19,32.7,24408.0321,2997687.0
2021-01-20,33.54,25035.0274,3678068.0
2021-01-21,33.34,24885.7428,5861817.0
2021-01-22,33.21,24788.7078,6098821.0
2021-01-25,33.5,25005.1705,5690078.0
2021-01-26,33.14,24736.4582,4191544.0
2021-01-27,32.2,24034.8206,5528094.0
2021-01-28,33.02,24646.8875,4746376.0
2021-01-29,31.19,23310.9382,7554966.0
2021-02-01,32.04,23946.2154,5694956.0
2021-02-02,32.45,24252.6433,4107344.0
2021-02-03,33.99,25403.6162,8832640.0
2021-02-04,33.96,25381.1946,4843300.0
2021-02-05,34.4,25710.044,3895213.0
2021-02-08,35.16,26278.0566,4473250.0
2021-02-09,34.57,25837.0995,3781218.0
2021-02-10,34.4,25710.044,3067829.0
2021-02-11,34.25,25597.9363,3182670.0
2021-02-12,35.04,26188.3704,4860697.0
2021-02-16,34.89,26076.2627,4276497.0
2021-02-17,34.16,25530.6716,3181904.0
2021-02-18,33.81,25269.0869,3435630.0
2021-02-19,34.99,26164.4023,4216614.0
2021-02-22,35.48,26530.8086,5158935.0
2021-02-23,35.03,26194.313,4866570.0
2021-02-24,35.9,26844.8712,5052308.0
2021-02-25,34.42,25738.1746,6591736.0
2021-02-26,33.87,25326.9022,6625801.0
2021-03-01,35.06,26216.7461,4833404.0
2021-03-02,33.79,25267.0807,5818897.0
2021-03-03,33.53,25072.661,5190811.0
2021-03-04,32.81,24534.2681,6434796.0
2021-03-05,33.76,25244.6477,6674004.0
2021-03-08,34.04,25454.0227,3715251.0
2021-03-09,34.39,25715.7415,4032166.0
2021-03-10,35.54,26575.6747,3655688.0
2021-03-11,35.67,26672.8846,3805935.0
2021-03-12,35.91,26852.3489,4776793.0
2021-03-15,36.09,26986.9471,3649401.0
2021-03-16,35.63,26642.9738,3760147.0
2021-03-17,36.15,27031.8132,4903908.0
2021-03-18,34.47,25775.563,3895869.0
2021-03-19,33.88,25334.3798,7337885.0
2021-03-22,34.29,25640.9647,3708518.0
2021-03-23,33.56,25095.0941,3242944.0
2021-03-24,33.81,25282.0361,3524841.0
2021-03-25,34.79,26014.8487,3848281.0
2021-03-26,35.44,26500.8979,3943729.0
2021-03-29,35.21,26328.9113,2817159.0
2021-03-30,35.45,26508.3756,2318046.0
2021-03-31,35.6,26620.5408,4275477.0
2021-04-01,36.84,27583.7774,3794001.0
2021-04-05,36.74,27508.9029,5538468.0
2021-04-06,37.14,27808.401,4729354.0
2021-04-07,36.83,27576.29,4567235.0
2021-04-08,37.03,27726.0391,2698003.0
2021-04-09,37.54,28107.8992,3448104.0
2021-04-12,37.31,27935.6877,4097470.0
2021-04-13,37.42,28018.0497,4003661.0
2021-04-14,38.02,28467.2969,4457697.0
2021-04-15,38.51,28834.1821,3442483.0
2021-04-16,39.32,29440.6658,3904440.0
2021-04-19,38.88,29111.2179,4544665.0
2021-04-20,38.38,28736.8452,4391081.0
2021-04-21,38.2,28602.0711,4629839.0
2021-04-22,37.83,28325.0353,5159129.0
2021-04-23,38.2,28602.0711,4895887.0
2021-04-26,38.84,29081.2681,6518071.0
2021-04-27,39.38,29485.5905,5912075.0
2021-04-28,39.77,29777.6012,6460716.0
2021-04-29,39.64,29680.2643,5712024.0
2021-04-30,38.77,29047.0656,11960748.0
2021-05-03,39.37,29496.5946,6368381.0
2021-05-04,39.19,29361.7359,5760344.0
2021-05-05,38.56,28889.7304,6584858.0
2021-05-06,39.22,29384.2123,5737157.0
2021-05-07,40.0,29968.6,5523951.0
2021-05-10,40.79,30560.4799,6567088.0
2021-05-11,39.64,29698.8826,6147161.0
2021-05-12,37.62,28185.4683,6169623.0
2021-05-13,38.12,28560.0758,4582553.0
2021-05-14,38.31,28702.4267,4172837.0
2021-05-17,38.07,28522.6151,4449780.0
2021-05-18,37.32,27960.7038,7535651.0
2021-05-19,37.28,27930.7352,12024806.0
2021-05-20,37.12,27810.8608,5639269.0
2021-05-21,37.04,27750.9236,4788124.0
2021-05-24,37.15,27833.3373,3079295.0
2021-05-25,37.26,27915.7509,4092870.0
2021-05-26,37.93,28417.725,6129198.0
2021-05-27,38.32,28709.9188,9088144.0
2021-05-28,37.96,28440.2014,4410910.0
2021-06-01,38.64,28949.6676,4566270.0
2021-06-02,37.76,28290.3584,5697015.0
2021-06-03,36.29,27189.0124,6950675.0
2021-06-04,36.01,26979.2322,7619464.0
2021-06-07,35.7,26746.9755,6607726.0
2021-06-08,35.57,26649.5776,7523992.0
2021-06-09,36.03,26994.2165,5570982.0
2021-06-10,35.0,26222.525,6748311.0
2021-06-11,35.32,26462.2738,5731921.0
2021-06-14,34.53,25870.394,7715984.0
2021-06-15,34.67,25975.2841,5368759.0
2021-06-16,34.38,25758.0117,5193990.0
2021-06-17,34.04,25503.2786,5566108.0
2021-06-18,33.41,25031.2731,8558109.0
2021-06-21,34.26,25668.1059,4646266.0
2021-06-22,34.13,25570.708,4008009.0
2021-06-23,33.92,25413.3728,3934742.0
2021-06-24,34.23,25645.6295,4985126.0
2021-06-25,34.29,25690.5824,5038516.0
2021-06-28,34.0,25473.31,4496180.0
2021-06-29,34.14,25578.2001,2884977.0
2021-06-30,34.42,25787.9803,4822096.0
2021-07-01,34.33,25720.551,3764071.0
2021-07-02,34.31,25705.5667,3790897.0
2021-07-06,33.97,25450.8336,7477829.0
2021-07-07,34.84,26102.6506,6738052.0
2021-07-08,35.04,26252.4936,7197264.0
2021-07-09,35.82,26836.8813,5387243.0
2021-07-12,35.65,26709.5147,2522692.0
2021-07-13,34.61,25930.3312,4209149.0
2021-07-14,34.7,25997.7605,5126537.0
2021-07-15,34.63,25945.3155,3671289.0
2021-07-16,34.02,25488.2943,4637728.0
2021-07-19,32.95,24686.6343,5627478.0
2021-07-20,33.65,25211.0848,4337784.0
2021-07-21,34.08,25533.2472,3807583.0
2021-07-22,34.17,25600.6766,3486499.0
2021-07-23,34.58,25907.8547,2945168.0
2021-07-26,34.66,25967.7919,2687883.0
2021-07-27,34.85,26110.1428,3337522.0
2021-07-28,34.37,25750.5196,3889957.0
2021-07-29,34.83,26095.1585,4149669.0
2021-07-30,33.73,25271.0219,6043035.0
2021-08-02,34.22,25657.6085,4163089.0
2021-08-03,34.54,25897.5394,3059310.0
2021-08-04,34.04,25522.6474,3075251.0
2021-08-05,34.48,25852.5523,3359043.0
2021-08-06,34.55,25905.0372,2971728.0
2021-08-09,34.13,25590.1279,3832915.0
2021-08-10,34.61,25950.0242,2905720.0
2021-08-11,35.33,26489.8687,3051028.0
2021-08-12,35.02,26257.4357,2644850.0
2021-08-13,34.82,26107.4789,2444538.0
2021-08-16,34.68,26002.5091,2268218.0
2021-08-17,33.88,25402.6819,2333256.0
2021-08-18,33.8,25342.6992,2603864.0
2021-08-19,33.91,25425.1754,3637179.0
2021-08-20,34.16,25612.6214,2093569.0
2021-08-23,34.53,25890.0415,2260318.0
2021-08-24,34.86,26137.4702,2572744.0
2021-08-25,35.26,26437.3838,2633189.0
2021-08-26,35.2,26392.3968,2572622.0
2021-08-27,35.95,26954.7348,2843998.0
2021-08-30,36.27,27194.6657,2976951.0
2021-08-31,36.0,26992.224,4343986.0
2021-09-01,36.32,27232.1549,3818054.0
2021-09-02,36.58,27427.0987,3076579.0
2021-09-03,36.64,27472.0858,3476066.0
2021-09-07,36.13,27089.6959,4026011.0
2021-09-08,35.35,26504.8644,4536291.0
2021-09-09,34.87,26144.9681,3371799.0
2021-09-10,34.71,26025.0026,2488761.0
2021-09-13,34.55,25905.0372,2525484.0
2021-09-14,34.09,25560.1366,2673500.0
2021-09-15,35.04,26272.4314,3958645.0
2021-09-16,35.69,26759.791,4522761.0
2021-09-17,36.17,27119.6873,7344656.0
2021-09-20,35.74,26797.2802,5547803.0
2021-09-21,35.26,26437.3838,3914057.0
