Date,PX_LAST,CUR_MKT_CAP,PX_VOLUME,Ticker
2018-03-01,116.02,10939.9424,1468106.0,UHS
2018-03-02,123.84,11649.3238,2302265.0,UHS
2018-03-05,123.85,11650.23,1288705.0,UHS
2018-03-06,124.95,11749.9124,976781.0,UHS
2018-03-07,126.2,11863.1879,721750.0,UHS
2018-03-08,127.27,11960.1517,768114.0,UHS
2018-03-09,126.66,11904.8733,674795.0,UHS
2018-03-12,126.28,11870.4375,849225.0,UHS
2018-03-13,123.89,11653.8548,810644.0,UHS
2018-03-14,123.26,11596.764,873692.0,UHS
2018-03-15,123.83,11648.4176,713058.0,UHS
2018-03-16,123.51,11619.4191,928280.0,UHS
2018-03-19,123.07,11579.5461,609864.0,UHS
2018-03-20,122.9,11564.1406,657194.0,UHS
2018-03-21,124.22,11683.7595,858197.0,UHS
2018-03-22,123.03,11575.9213,578020.0,UHS
2018-03-23,121.17,11407.3674,743997.0,UHS
2018-03-26,120.23,11322.1842,813145.0,UHS
2018-03-27,120.44,11341.2145,787289.0,UHS
2018-03-28,121.38,11426.3977,640337.0,UHS
2018-03-29,118.41,11157.2551,964416.0,UHS
2018-04-02,116.38,10973.2957,757978.0,UHS
2018-04-03,118.04,11123.7256,718972.0,UHS
2018-04-04,119.35,11242.4383,1178620.0,UHS
2018-04-05,121.67,11453.9421,595541.0,UHS
2018-04-06,118.5,11166.6388,560661.0,UHS
2018-04-09,119.15,11225.5495,473621.0,UHS
2018-04-10,120.07,11308.931,674646.0,UHS
2018-04-11,119.07,11218.299,677118.0,UHS
2018-04-12,120.1,11311.6499,876744.0,UHS
2018-04-13,119.64,11269.9592,616403.0,UHS
2018-04-16,120.55,11352.4343,460158.0,UHS
2018-04-17,120.83,11377.8113,1465705.0,UHS
2018-04-18,121.5,11438.5347,1216481.0,UHS
2018-04-19,121.51,11439.441,686336.0,UHS
2018-04-20,120.52,11349.7153,657714.0,UHS
2018-04-23,120.14,11326.9155,979859.0,UHS
2018-04-24,120.51,11361.7995,770389.0,UHS
2018-04-25,122.04,11506.0493,755037.0,UHS
2018-04-26,115.02,10844.1969,3026653.0,UHS
2018-04-27,114.34,10780.0859,1281658.0,UHS
2018-04-30,114.2,10766.8865,1070019.0,UHS
2018-05-01,115.01,10843.2541,1180614.0,UHS
2018-05-02,117.7,11096.8699,1227336.0,UHS
2018-05-03,117.36,11064.8144,1253584.0,UHS
2018-05-04,117.77,11103.4696,802242.0,UHS
2018-05-07,117.38,11066.7,513506.0,UHS
2018-05-08,115.95,10931.8782,947827.0,UHS
2018-05-09,117.27,11071.0633,833767.0,UHS
2018-05-10,117.77,11118.2666,644355.0,UHS
2018-05-11,118.36,11173.9665,695681.0,UHS
2018-05-14,118.71,11207.0088,640145.0,UHS
2018-05-15,117.41,11084.2802,839705.0,UHS
2018-05-16,118.48,11185.2953,345013.0,UHS
2018-05-17,118.7,11206.0647,953310.0,UHS
2018-05-18,117.86,11126.7632,506405.0,UHS
2018-05-21,118.74,11209.841,815092.0,UHS
2018-05-22,118.69,11205.1207,397402.0,UHS
2018-05-23,116.53,11001.2024,897783.0,UHS
2018-05-24,115.95,10946.4465,703933.0,UHS
2018-05-25,116.69,11016.3074,565159.0,UHS
2018-05-29,115.61,10914.3483,768390.0,UHS
2018-05-30,116.99,11044.6294,392949.0,UHS
2018-05-31,114.98,10854.8721,1094837.0,UHS
2018-06-01,114.15,10776.5146,689073.0,UHS
2018-06-04,115.49,10903.0195,996264.0,UHS
2018-06-05,116.13,10963.4397,974839.0,UHS
2018-06-06,116.04,10954.9431,653825.0,UHS
2018-06-07,116.54,11002.1464,909021.0,UHS
